date,rainfall_mm
2001-01-01,0.0
2001-01-02,0.0
2001-01-03,0.0
2001-01-04,0.0
2001-01-05,0.0
2001-01-06,0.0
2001-01-07,0.0
2001-01-08,0.0
2001-01-09,0.0
2001-01-10,0.0
2001-01-11,0.0
2001-01-12,0.0
2001-01-13,0.0
2001-01-14,0.0
2001-01-15,0.0
2001-01-16,0.0
2001-01-17,0.0
2001-01-18,0.0
2001-01-19,0.0
2001-01-20,0.0
2001-01-21,0.0
2001-01-22,0.0
2001-01-23,0.0
2001-01-24,0.0
2001-01-25,0.0
2001-01-26,0.0
2001-01-27,0.0
2001-01-28,0.0
2001-01-29,0.0
2001-01-30,0.0
2001-01-31,0.0
2001-02-01,0.0
2001-02-02,0.0
2001-02-03,0.0
2001-02-04,0.0
2001-02-05,0.0
2001-02-06,0.0
2001-02-07,0.0
2001-02-08,0.0
2001-02-09,0.0
2001-02-10,0.0
2001-02-11,0.0
2001-02-12,0.0
2001-02-13,0.0
2001-02-14,0.0
2001-02-15,0.0
2001-02-16,0.0
2001-02-17,0.0
2001-02-18,0.0
2001-02-19,0.0
2001-02-20,0.0
2001-02-21,15.1
2001-02-22,0.09
2001-02-23,0.0
2001-02-24,0.0
2001-02-25,0.0
2001-02-26,0.0
2001-02-27,0.0
2001-02-28,7.4
2001-03-01,0.3
2001-03-02,0.0
2001-03-03,0.0
2001-03-04,0.0
2001-03-05,3.48
2001-03-06,0.12
2001-03-07,0.08
2001-03-08,0.0
2001-03-09,1.62
2001-03-10,0.0
2001-03-11,0.0
2001-03-12,0.0
2001-03-13,0.0
2001-03-14,0.0
2001-03-15,0.0
2001-03-16,0.0
2001-03-17,0.0
2001-03-18,0.0
2001-03-19,0.0
2001-03-20,0.0
2001-03-21,0.0
2001-03-22,3.44
2001-03-23,1.01
2001-03-24,0.0
2001-03-25,0.0
2001-03-26,0.0
2001-03-27,2.53
2001-03-28,2.48
2001-03-29,0.0
2001-03-30,0.06
2001-03-31,0.1
2001-04-01,19.56
2001-04-02,0.66
2001-04-03,0.0
2001-04-04,0.0
2001-04-05,0.0
2001-04-06,0.0
2001-04-07,0.0
2001-04-08,0.41
2001-04-09,0.56
2001-04-10,0.08
2001-04-11,0.05
2001-04-12,0.22
2001-04-13,0.6
2001-04-14,0.06
2001-04-15,0.04
2001-04-16,0.0
2001-04-17,1.67
2001-04-18,0.0
2001-04-19,3.0
2001-04-20,0.0
2001-04-21,0.0
2001-04-22,0.0
2001-04-23,0.0
2001-04-24,0.0
2001-04-25,0.0
2001-04-26,0.0
2001-04-27,0.0
2001-04-28,2.2
2001-04-29,24.32
2001-04-30,24.12
2001-05-01,0.0
2001-05-02,17.81
2001-05-03,17.66
2001-05-04,6.26
2001-05-05,4.11
2001-05-06,4.54
2001-05-07,57.42
2001-05-08,35.3
2001-05-09,8.72
2001-05-10,72.1
2001-05-11,89.57
2001-05-12,0.0
2001-05-13,0.0
2001-05-14,0.12
2001-05-15,1.65
2001-05-16,0.0
2001-05-17,0.0
2001-05-18,0.02
2001-05-19,0.98
2001-05-20,26.64
2001-05-21,0.04
2001-05-22,4.07
2001-05-23,4.47
2001-05-24,2.76
2001-05-25,0.22
2001-05-26,7.27
2001-05-27,0.86
2001-05-28,0.0
2001-05-29,6.3
2001-05-30,12.24
2001-05-31,8.05
2001-06-01,18.39
2001-06-02,13.0
2001-06-03,11.54
2001-06-04,13.09
2001-06-05,127.4
2001-06-06,57.98
2001-06-07,53.46
2001-06-08,4.0
2001-06-09,1.86
2001-06-10,7.16
2001-06-11,1.72
2001-06-12,4.42
2001-06-13,13.95
2001-06-14,139.02
2001-06-15,30.7
2001-06-16,15.34
2001-06-17,22.42
2001-06-18,12.44
2001-06-19,42.1
2001-06-20,9.62
2001-06-21,1.62
2001-06-22,3.44
2001-06-23,3.04
2001-06-24,4.89
2001-06-25,1.32
2001-06-26,3.07
2001-06-27,5.22
2001-06-28,22.38
2001-06-29,1.74
2001-06-30,6.02
2001-07-01,14.14
2001-07-02,1.54
2001-07-03,1.24
2001-07-04,9.63
2001-07-05,7.06
2001-07-06,12.7
2001-07-07,14.9
2001-07-08,0.06
2001-07-09,10.0
2001-07-10,2.82
2001-07-11,0.4
2001-07-12,1.32
2001-07-13,2.27
2001-07-14,18.61
2001-07-15,14.2
2001-07-16,14.72
2001-07-17,24.92
2001-07-18,9.24
2001-07-19,9.38
2001-07-20,5.11
2001-07-21,6.26
2001-07-22,1.8
2001-07-23,8.86
2001-07-24,5.18
2001-07-25,2.72
2001-07-26,2.21
2001-07-27,9.96
2001-07-28,5.76
2001-07-29,41.15
2001-07-30,21.72
2001-07-31,32.96
2001-08-01,2.88
2001-08-02,11.7
2001-08-03,0.54
2001-08-04,23.52
2001-08-05,23.77
2001-08-06,3.27
2001-08-07,8.1
2001-08-08,35.53
2001-08-09,2.04
2001-08-10,1.48
2001-08-11,0.0
2001-08-12,4.54
2001-08-13,2.88
2001-08-14,0.56
2001-08-15,0.0
2001-08-16,5.42
2001-08-17,8.47
2001-08-18,12.58
2001-08-19,18.9
2001-08-20,10.45
2001-08-21,0.0
2001-08-22,0.0
2001-08-23,0.0
2001-08-24,22.22
2001-08-25,0.46
2001-08-26,16.07
2001-08-27,25.56
2001-08-28,10.82
2001-08-29,40.38
2001-08-30,1.97
2001-08-31,1.56
2001-09-01,8.0
2001-09-02,3.0
2001-09-03,6.2
2001-09-04,0.0
2001-09-05,1.44
2001-09-06,2.38
2001-09-07,6.98
2001-09-08,0.0
2001-09-09,10.46
2001-09-10,6.78
2001-09-11,7.36
2001-09-12,2.6
2001-09-13,0.0
2001-09-14,4.46
2001-09-15,0.0
2001-09-16,27.14
2001-09-17,10.4
2001-09-18,64.04
2001-09-19,17.02
2001-09-20,3.36
2001-09-21,0.0
2001-09-22,0.14
2001-09-23,8.4
2001-09-24,16.34
2001-09-25,7.68
2001-09-26,0.12
2001-09-27,0.48
2001-09-28,1.71
2001-09-29,0.0
2001-09-30,0.82
2001-10-01,26.38
2001-10-02,28.35
2001-10-03,59.95
2001-10-04,0.38
2001-10-05,0.0
2001-10-06,0.0
2001-10-07,0.0
2001-10-08,8.22
2001-10-09,12.96
2001-10-10,0.36
2001-10-11,0.44
2001-10-12,0.0
2001-10-13,5.37
2001-10-14,21.5
2001-10-15,0.0
2001-10-16,0.0
2001-10-17,14.44
2001-10-18,5.85
2001-10-19,0.0
2001-10-20,0.0
2001-10-21,0.0
2001-10-22,0.0
2001-10-23,0.0
2001-10-24,0.0
2001-10-25,0.0
2001-10-26,0.0
2001-10-27,13.0
2001-10-28,3.98
2001-10-29,0.0
2001-10-30,7.04
2001-10-31,4.93
2001-11-01,0.0
2001-11-02,0.0
2001-11-03,0.0
2001-11-04,0.0
2001-11-05,0.0
2001-11-06,5.22
2001-11-07,5.47
2001-11-08,0.0
2001-11-09,0.0
2001-11-10,12.93
2001-11-11,14.38
2001-11-12,15.49
2001-11-13,0.0
2001-11-14,0.0
2001-11-15,0.0
2001-11-16,0.0
2001-11-17,0.0
2001-11-18,0.0
2001-11-19,0.0
2001-11-20,0.0
2001-11-21,0.0
2001-11-22,0.0
2001-11-23,0.0
2001-11-24,0.0
2001-11-25,0.0
2001-11-26,0.0
2001-11-27,0.0
2001-11-28,0.0
2001-11-29,0.0
2001-11-30,0.0
2001-12-01,0.0
2001-12-02,0.0
2001-12-03,0.0
2001-12-04,0.0
2001-12-05,0.0
2001-12-06,0.0
2001-12-07,0.0
2001-12-08,0.0
2001-12-09,0.0
2001-12-10,0.0
2001-12-11,0.0
2001-12-12,0.0
2001-12-13,0.0
2001-12-14,0.0
2001-12-15,0.0
2001-12-16,0.0
2001-12-17,0.0
2001-12-18,0.0
2001-12-19,0.0
2001-12-20,0.0
2001-12-21,0.0
2001-12-22,0.0
2001-12-23,0.0
2001-12-24,0.0
2001-12-25,0.0
2001-12-26,0.0
2001-12-27,0.0
2001-12-28,0.0
2001-12-29,0.0
2001-12-30,0.0
2001-12-31,0.0
2002-01-01,0.0
2002-01-02,0.0
2002-01-03,0.0
2002-01-04,0.0
2002-01-05,0.0
2002-01-06,0.1
2002-01-07,1.62
2002-01-08,0.24
2002-01-09,0.0
2002-01-10,0.0
2002-01-11,0.0
2002-01-12,0.0
2002-01-13,0.0
2002-01-14,0.0
2002-01-15,0.0
2002-01-16,0.0
2002-01-17,0.0
2002-01-18,0.0
2002-01-19,0.0
2002-01-20,0.0
2002-01-21,0.0
2002-01-22,2.5
2002-01-23,1.42
2002-01-24,0.0
2002-01-25,0.0
2002-01-26,0.0
2002-01-27,0.0
2002-01-28,2.28
2002-01-29,5.45
2002-01-30,3.3
2002-01-31,0.0
2002-02-01,0.0
2002-02-02,0.0
2002-02-03,0.0
2002-02-04,0.0
2002-02-05,0.0
2002-02-06,0.0
2002-02-07,0.0
2002-02-08,0.02
2002-02-09,0.0
2002-02-10,0.0
2002-02-11,0.0
2002-02-12,2.64
2002-02-13,0.12
2002-02-14,0.0
2002-02-15,0.0
2002-02-16,0.0
2002-02-17,0.0
2002-02-18,0.0
2002-02-19,0.0
2002-02-20,0.0
2002-02-21,0.0
2002-02-22,0.0
2002-02-23,0.0
2002-02-24,0.0
2002-02-25,0.13
2002-02-26,0.0
2002-02-27,0.0
2002-02-28,0.0
2002-03-01,0.0
2002-03-02,0.0
2002-03-03,1.7
2002-03-04,0.0
2002-03-05,0.0
2002-03-06,0.0
2002-03-07,0.0
2002-03-08,0.0
2002-03-09,0.0
2002-03-10,0.0
2002-03-11,0.62
2002-03-12,0.0
2002-03-13,1.56
2002-03-14,0.0
2002-03-15,0.0
2002-03-16,0.38
2002-03-17,0.0
2002-03-18,0.0
2002-03-19,0.0
2002-03-20,0.0
2002-03-21,0.0
2002-03-22,0.0
2002-03-23,3.34
2002-03-24,51.14
2002-03-25,9.31
2002-03-26,6.42
2002-03-27,12.12
2002-03-28,0.02
2002-03-29,5.7
2002-03-30,0.0
2002-03-31,4.56
2002-04-01,3.8
2002-04-02,3.64
2002-04-03,7.28
2002-04-04,0.0
2002-04-05,0.45
2002-04-06,0.0
2002-04-07,0.0
2002-04-08,33.2
2002-04-09,0.46
2002-04-10,1.0
2002-04-11,3.12
2002-04-12,0.83
2002-04-13,0.0
2002-04-14,0.0
2002-04-15,6.15
2002-04-16,0.0
2002-04-17,0.06
2002-04-18,0.0
2002-04-19,0.0
2002-04-20,0.06
2002-04-21,8.59
2002-04-22,16.66
2002-04-23,0.0
2002-04-24,0.0
2002-04-25,0.0
2002-04-26,8.15
2002-04-27,0.0
2002-04-28,0.0
2002-04-29,23.77
2002-04-30,8.19
2002-05-01,3.2
2002-05-02,7.3
2002-05-03,216.74
2002-05-04,0.54
2002-05-05,12.43
2002-05-06,20.94
2002-05-07,13.6
2002-05-08,16.31
2002-05-09,0.0
2002-05-10,3.28
2002-05-11,8.43
2002-05-12,0.0
2002-05-13,0.0
2002-05-14,2.62
2002-05-15,0.0
2002-05-16,0.0
2002-05-17,0.0
2002-05-18,0.3
2002-05-19,1.53
2002-05-20,0.0
2002-05-21,1.74
2002-05-22,15.96
2002-05-23,4.35
2002-05-24,1.04
2002-05-25,0.68
2002-05-26,42.18
2002-05-27,4.31
2002-05-28,0.51
2002-05-29,1.21
2002-05-30,0.0
2002-05-31,6.92
2002-06-01,42.88
2002-06-02,15.95
2002-06-03,20.92
2002-06-04,82.68
2002-06-05,0.0
2002-06-06,0.12
2002-06-07,37.44
2002-06-08,3.75
2002-06-09,0.78
2002-06-10,9.14
2002-06-11,1.38
2002-06-12,17.24
2002-06-13,109.7
2002-06-14,10.74
2002-06-15,33.08
2002-06-16,11.06
2002-06-17,2.92
2002-06-18,5.62
2002-06-19,4.01
2002-06-20,0.05
2002-06-21,16.06
2002-06-22,19.61
2002-06-23,34.2
2002-06-24,2.12
2002-06-25,3.14
2002-06-26,0.03
2002-06-27,0.14
2002-06-28,6.5
2002-06-29,6.92
2002-06-30,12.96
2002-07-01,32.18
2002-07-02,10.06
2002-07-03,23.15
2002-07-04,30.14
2002-07-05,15.68
2002-07-06,18.35
2002-07-07,28.11
2002-07-08,34.23
2002-07-09,22.77
2002-07-10,23.82
2002-07-11,6.46
2002-07-12,2.6
2002-07-13,9.8
2002-07-14,8.21
2002-07-15,15.88
2002-07-16,35.99
2002-07-17,3.51
2002-07-18,2.4
2002-07-19,13.57
2002-07-20,22.78
2002-07-21,52.87
2002-07-22,56.92
2002-07-23,5.0
2002-07-24,21.46
2002-07-25,5.8
2002-07-26,1.76
2002-07-27,4.86
2002-07-28,13.68
2002-07-29,32.98
2002-07-30,8.26
2002-07-31,1.83
2002-08-01,2.17
2002-08-02,22.16
2002-08-03,8.65
2002-08-04,3.46
2002-08-05,11.82
2002-08-06,16.73
2002-08-07,26.06
2002-08-08,13.59
2002-08-09,4.08
2002-08-10,1.82
2002-08-11,11.14
2002-08-12,5.54
2002-08-13,13.44
2002-08-14,16.68
2002-08-15,4.37
2002-08-16,2.97
2002-08-17,31.48
2002-08-18,1.36
2002-08-19,3.68
2002-08-20,19.67
2002-08-21,19.32
2002-08-22,30.94
2002-08-23,5.58
2002-08-24,2.62
2002-08-25,5.8
2002-08-26,14.26
2002-08-27,17.35
2002-08-28,13.44
2002-08-29,1.94
2002-08-30,0.0
2002-08-31,0.0
2002-09-01,0.25
2002-09-02,3.17
2002-09-03,0.74
2002-09-04,0.0
2002-09-05,29.8
2002-09-06,15.62
2002-09-07,2.2
2002-09-08,17.88
2002-09-09,4.97
2002-09-10,6.46
2002-09-11,2.78
2002-09-12,3.6
2002-09-13,0.0
2002-09-14,0.26
2002-09-15,0.7
2002-09-16,15.07
2002-09-17,0.0
2002-09-18,0.45
2002-09-19,28.92
2002-09-20,14.67
2002-09-21,2.61
2002-09-22,0.72
2002-09-23,8.88
2002-09-24,25.03
2002-09-25,0.0
2002-09-26,20.59
2002-09-27,9.0
2002-09-28,0.99
2002-09-29,0.33
2002-09-30,0.0
2002-10-01,2.48
2002-10-02,0.0
2002-10-03,1.76
2002-10-04,0.0
2002-10-05,0.0
2002-10-06,0.0
2002-10-07,0.15
2002-10-08,4.56
2002-10-09,5.39
2002-10-10,0.0
2002-10-11,15.62
2002-10-12,2.94
2002-10-13,14.43
2002-10-14,13.43
2002-10-15,0.0
2002-10-16,0.0
2002-10-17,0.0
2002-10-18,4.47
2002-10-19,3.16
2002-10-20,0.0
2002-10-21,0.0
2002-10-22,0.0
2002-10-23,0.0
2002-10-24,0.0
2002-10-25,0.0
2002-10-26,0.0
2002-10-27,0.0
2002-10-28,0.0
2002-10-29,0.0
2002-10-30,0.0
2002-10-31,0.0
2002-11-01,0.0
2002-11-02,0.64
2002-11-03,0.11
2002-11-04,0.0
2002-11-05,0.0
2002-11-06,0.0
2002-11-07,2.23
2002-11-08,0.0
2002-11-09,0.68
2002-11-10,0.6
2002-11-11,21.34
2002-11-12,79.19
2002-11-13,0.0
2002-11-14,0.0
2002-11-15,0.0
2002-11-16,0.0
2002-11-17,0.0
2002-11-18,0.0
2002-11-19,0.0
2002-11-20,0.0
2002-11-21,0.0
2002-11-22,0.0
2002-11-23,0.0
2002-11-24,0.0
2002-11-25,0.0
2002-11-26,0.0
2002-11-27,0.0
2002-11-28,0.0
2002-11-29,0.0
2002-11-30,0.0
2002-12-01,0.0
2002-12-02,0.0
2002-12-03,0.0
2002-12-04,0.0
2002-12-05,0.0
2002-12-06,0.06
2002-12-07,0.0
2002-12-08,0.0
2002-12-09,0.0
2002-12-10,0.0
2002-12-11,0.0
2002-12-12,0.0
2002-12-13,0.0
2002-12-14,0.0
2002-12-15,0.0
2002-12-16,0.0
2002-12-17,0.0
2002-12-18,0.0
2002-12-19,0.0
2002-12-20,0.0
2002-12-21,0.0
2002-12-22,0.0
2002-12-23,0.0
2002-12-24,0.0
2002-12-25,0.0
2002-12-26,0.0
2002-12-27,0.0
2002-12-28,0.0
2002-12-29,0.0
2002-12-30,0.0
2002-12-31,0.0
2003-01-01,0.0
2003-01-02,0.0
2003-01-03,0.0
2003-01-04,0.0
2003-01-05,0.0
2003-01-06,0.0
2003-01-07,0.0
2003-01-08,0.0
2003-01-09,0.0
2003-01-10,0.0
2003-01-11,0.0
2003-01-12,0.0
2003-01-13,0.0
2003-01-14,0.0
2003-01-15,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-18,0.0
2003-01-19,0.0
2003-01-20,0.0
2003-01-21,0.0
2003-01-22,0.0
2003-01-23,0.0
2003-01-24,0.0
2003-01-25,0.0
2003-01-26,0.0
2003-01-27,0.0
2003-01-28,0.0
2003-01-29,0.0
2003-01-30,0.0
2003-01-31,0.0
2003-02-01,0.0
2003-02-02,0.0
2003-02-03,0.0
2003-02-04,1.31
2003-02-05,1.18
2003-02-06,0.0
2003-02-07,0.0
2003-02-08,0.0
2003-02-09,0.0
2003-02-10,0.0
2003-02-11,0.02
2003-02-12,12.76
2003-02-13,2.58
2003-02-14,0.0
2003-02-15,0.0
2003-02-16,0.0
2003-02-17,0.0
2003-02-18,0.0
2003-02-19,0.0
2003-02-20,0.0
2003-02-21,0.0
2003-02-22,0.0
2003-02-23,0.0
2003-02-24,0.0
2003-02-25,0.0
2003-02-26,0.0
2003-02-27,0.0
2003-02-28,0.0
2003-03-01,0.0
2003-03-02,0.0
2003-03-03,0.0
2003-03-04,0.0
2003-03-05,0.0
2003-03-06,0.0
2003-03-07,0.0
2003-03-08,0.0
2003-03-09,0.0
2003-03-10,0.0
2003-03-11,0.38
2003-03-12,24.14
2003-03-13,2.1
2003-03-14,13.28
2003-03-15,0.0
