date,rainfall_mm
2001-01-01,0.0
2001-01-02,0.0
2001-01-03,0.0
2001-01-04,0.0
2001-01-05,0.0
2001-01-06,0.0
2001-01-07,0.0
2001-01-08,0.0
2001-01-09,0.0
2001-01-10,0.0
2001-01-11,0.0
2001-01-12,0.0
2001-01-13,0.0
2001-01-14,0.0
2001-01-15,0.0
2001-01-16,0.0
2001-01-17,0.0
2001-01-18,0.0
2001-01-19,0.0
2001-01-20,0.0
2001-01-21,0.0
2001-01-22,0.0
2001-01-23,0.0
2001-01-24,0.0
2001-01-25,0.0
2001-01-26,0.0
2001-01-27,0.0
2001-01-28,0.0
2001-01-29,0.0
2001-01-30,0.0
2001-01-31,0.0
2001-02-01,0.0
2001-02-02,0.0
2001-02-03,0.0
2001-02-04,0.0
2001-02-05,0.0
2001-02-06,0.0
2001-02-07,0.0
2001-02-08,0.0
2001-02-09,0.0
2001-02-10,0.0
2001-02-11,0.0
2001-02-12,0.0
2001-02-13,0.0
2001-02-14,0.0
2001-02-15,0.0
2001-02-16,0.0
2001-02-17,0.0
2001-02-18,0.0
2001-02-19,0.0
2001-02-20,0.0
2001-02-21,14.62
2001-02-22,3.05
2001-02-23,0.0
2001-02-24,0.0
2001-02-25,0.0
2001-02-26,6.79
2001-02-27,0.0
2001-02-28,0.1
2001-03-01,0.0
2001-03-02,0.0
2001-03-03,0.0
2001-03-04,0.0
2001-03-05,3.52
2001-03-06,0.0
2001-03-07,0.0
2001-03-08,0.0
2001-03-09,0.0
2001-03-10,0.0
2001-03-11,0.0
2001-03-12,0.0
2001-03-13,0.0
2001-03-14,0.0
2001-03-15,0.0
2001-03-16,0.0
2001-03-17,0.0
2001-03-18,0.0
2001-03-19,0.0
2001-03-20,0.0
2001-03-21,0.0
2001-03-22,1.12
2001-03-23,6.52
2001-03-24,0.0
2001-03-25,0.0
2001-03-26,0.0
2001-03-27,0.0
2001-03-28,0.0
2001-03-29,0.0
2001-03-30,0.28
2001-03-31,0.1
2001-04-01,7.0
2001-04-02,0.22
2001-04-03,0.0
2001-04-04,0.0
2001-04-05,0.0
2001-04-06,2.22
2001-04-07,0.0
2001-04-08,0.67
2001-04-09,0.74
2001-04-10,0.49
2001-04-11,0.2
2001-04-12,0.02
2001-04-13,8.56
2001-04-14,0.0
2001-04-15,0.12
2001-04-16,0.0
2001-04-17,0.52
2001-04-18,0.06
2001-04-19,0.12
2001-04-20,0.0
2001-04-21,0.0
2001-04-22,0.0
2001-04-23,0.0
2001-04-24,0.0
2001-04-25,0.0
2001-04-26,0.0
2001-04-27,1.92
2001-04-28,0.0
2001-04-29,0.32
2001-04-30,37.24
2001-05-01,0.56
2001-05-02,2.24
2001-05-03,25.08
2001-05-04,21.62
2001-05-05,8.69
2001-05-06,5.45
2001-05-07,59.33
2001-05-08,68.98
2001-05-09,4.42
2001-05-10,49.34
2001-05-11,99.44
2001-05-12,0.7
2001-05-13,0.0
2001-05-14,0.54
2001-05-15,0.28
2001-05-16,5.81
2001-05-17,0.5
2001-05-18,0.16
2001-05-19,7.18
2001-05-20,6.9
2001-05-21,0.0
2001-05-22,6.26
2001-05-23,1.62
2001-05-24,6.15
2001-05-25,0.0
2001-05-26,10.28
2001-05-27,0.66
2001-05-28,1.08
2001-05-29,12.4
2001-05-30,6.3
2001-05-31,7.68
2001-06-01,9.96
2001-06-02,6.12
2001-06-03,25.34
2001-06-04,25.16
2001-06-05,52.86
2001-06-06,71.44
2001-06-07,44.68
2001-06-08,27.59
2001-06-09,22.79
2001-06-10,3.88
2001-06-11,18.26
2001-06-12,6.84
2001-06-13,36.1
2001-06-14,172.68
2001-06-15,51.02
2001-06-16,57.34
2001-06-17,55.78
2001-06-18,3.86
2001-06-19,42.16
2001-06-20,14.1
2001-06-21,1.77
2001-06-22,9.52
2001-06-23,6.26
2001-06-24,9.81
2001-06-25,5.05
2001-06-26,5.16
2001-06-27,0.28
2001-06-28,7.74
2001-06-29,2.57
2001-06-30,18.42
2001-07-01,24.56
2001-07-02,3.9
2001-07-03,4.09
2001-07-04,22.04
2001-07-05,3.0
2001-07-06,3.92
2001-07-07,9.75
2001-07-08,0.7
2001-07-09,10.6
2001-07-10,2.82
2001-07-11,7.2
2001-07-12,1.95
2001-07-13,5.5
2001-07-14,5.88
2001-07-15,9.26
2001-07-16,3.36
2001-07-17,15.18
2001-07-18,5.54
2001-07-19,7.09
2001-07-20,26.09
2001-07-21,16.95
2001-07-22,2.92
2001-07-23,3.3
2001-07-24,11.52
2001-07-25,8.4
2001-07-26,6.02
2001-07-27,7.14
2001-07-28,23.82
2001-07-29,39.48
2001-07-30,42.83
2001-07-31,70.5
2001-08-01,12.16
2001-08-02,6.74
2001-08-03,1.48
2001-08-04,28.32
2001-08-05,56.78
2001-08-06,8.54
2001-08-07,32.88
2001-08-08,27.48
2001-08-09,0.44
2001-08-10,0.82
2001-08-11,1.38
2001-08-12,15.51
2001-08-13,1.98
2001-08-14,0.77
2001-08-15,0.49
2001-08-16,7.22
2001-08-17,11.56
2001-08-18,9.4
2001-08-19,11.44
2001-08-20,4.11
2001-08-21,0.6
2001-08-22,0.28
2001-08-23,0.16
2001-08-24,1.9
2001-08-25,5.66
2001-08-26,45.14
2001-08-27,14.44
2001-08-28,15.49
2001-08-29,36.53
2001-08-30,1.92
2001-08-31,2.76
2001-09-01,7.58
2001-09-02,5.94
2001-09-03,6.11
2001-09-04,0.44
2001-09-05,2.04
2001-09-06,3.92
2001-09-07,23.94
2001-09-08,1.28
2001-09-09,5.92
2001-09-10,4.36
2001-09-11,10.74
2001-09-12,0.78
2001-09-13,1.94
2001-09-14,3.17
2001-09-15,0.1
2001-09-16,13.77
2001-09-17,15.04
2001-09-18,21.38
2001-09-19,22.71
2001-09-20,0.0
2001-09-21,0.28
2001-09-22,5.05
2001-09-23,26.38
2001-09-24,18.9
2001-09-25,4.53
2001-09-26,0.4
2001-09-27,0.08
2001-09-28,1.21
2001-09-29,0.0
2001-09-30,10.02
2001-10-01,6.56
2001-10-02,10.1
2001-10-03,19.97
2001-10-04,0.68
2001-10-05,0.1
2001-10-06,2.87
2001-10-07,0.0
2001-10-08,0.0
2001-10-09,73.44
2001-10-10,7.48
2001-10-11,0.04
2001-10-12,6.63
2001-10-13,9.44
2001-10-14,20.68
2001-10-15,0.0
2001-10-16,0.0
2001-10-17,15.27
2001-10-18,10.9
2001-10-19,0.0
2001-10-20,0.0
2001-10-21,0.0
2001-10-22,0.0
2001-10-23,0.0
2001-10-24,0.0
2001-10-25,0.0
2001-10-26,5.45
2001-10-27,23.32
2001-10-28,3.04
2001-10-29,1.22
2001-10-30,23.92
2001-10-31,2.76
2001-11-01,0.0
2001-11-02,0.0
2001-11-03,0.0
2001-11-04,0.0
2001-11-05,0.0
2001-11-06,2.28
2001-11-07,3.32
2001-11-08,1.09
2001-11-09,1.22
2001-11-10,14.52
2001-11-11,25.76
2001-11-12,18.64
2001-11-13,0.0
2001-11-14,0.0
2001-11-15,0.0
2001-11-16,0.0
2001-11-17,0.0
2001-11-18,0.0
2001-11-19,0.0
2001-11-20,0.0
2001-11-21,0.0
2001-11-22,0.0
2001-11-23,0.0
2001-11-24,0.0
2001-11-25,0.0
2001-11-26,0.0
2001-11-27,0.0
2001-11-28,0.0
2001-11-29,0.0
2001-11-30,0.0
2001-12-01,0.0
2001-12-02,0.0
2001-12-03,0.0
2001-12-04,0.0
2001-12-05,0.0
2001-12-06,0.0
2001-12-07,0.0
2001-12-08,0.0
2001-12-09,0.0
2001-12-10,0.0
2001-12-11,0.0
2001-12-12,0.0
2001-12-13,0.0
2001-12-14,0.0
2001-12-15,0.0
2001-12-16,0.0
2001-12-17,0.0
2001-12-18,0.0
2001-12-19,0.0
2001-12-20,0.0
2001-12-21,0.0
2001-12-22,0.0
2001-12-23,0.0
2001-12-24,0.0
2001-12-25,0.0
2001-12-26,0.0
2001-12-27,0.0
2001-12-28,0.0
2001-12-29,0.0
2001-12-30,0.0
2001-12-31,0.0
2002-01-01,0.0
2002-01-02,0.0
2002-01-03,0.0
2002-01-04,0.0
2002-01-05,0.0
2002-01-06,0.04
2002-01-07,1.1
2002-01-08,0.44
2002-01-09,0.0
2002-01-10,0.0
2002-01-11,0.0
2002-01-12,0.0
2002-01-13,0.0
2002-01-14,0.0
2002-01-15,0.0
2002-01-16,0.0
2002-01-17,0.0
2002-01-18,0.0
2002-01-19,0.0
2002-01-20,0.0
2002-01-21,0.0
2002-01-22,1.06
2002-01-23,5.15
2002-01-24,0.0
2002-01-25,0.0
2002-01-26,0.0
2002-01-27,0.0
2002-01-28,0.94
2002-01-29,3.3
2002-01-30,0.9
2002-01-31,0.0
2002-02-01,0.0
2002-02-02,0.0
2002-02-03,0.0
2002-02-04,0.0
2002-02-05,0.0
2002-02-06,0.0
2002-02-07,0.0
2002-02-08,0.0
2002-02-09,0.0
2002-02-10,0.0
2002-02-11,0.0
2002-02-12,0.48
2002-02-13,1.0
2002-02-14,0.0
2002-02-15,0.0
2002-02-16,0.0
2002-02-17,0.0
2002-02-18,0.0
2002-02-19,0.0
2002-02-20,0.0
2002-02-21,0.0
2002-02-22,0.0
2002-02-23,0.0
2002-02-24,0.0
2002-02-25,0.0
2002-02-26,0.0
2002-02-27,0.0
2002-02-28,0.0
2002-03-01,0.0
2002-03-02,0.0
2002-03-03,0.0
2002-03-04,0.0
2002-03-05,0.0
2002-03-06,0.0
2002-03-07,0.0
2002-03-08,0.0
2002-03-09,0.0
2002-03-10,0.0
2002-03-11,0.39
2002-03-12,0.0
2002-03-13,0.0
2002-03-14,0.0
2002-03-15,2.81
2002-03-16,0.0
2002-03-17,0.0
2002-03-18,0.0
2002-03-19,0.0
2002-03-20,0.0
2002-03-21,0.0
2002-03-22,0.0
2002-03-23,0.74
2002-03-24,21.72
2002-03-25,0.0
2002-03-26,0.56
2002-03-27,37.48
2002-03-28,0.16
2002-03-29,22.1
2002-03-30,0.0
2002-03-31,0.0
2002-04-01,0.0
2002-04-02,2.34
2002-04-03,13.66
2002-04-04,0.0
2002-04-05,0.0
2002-04-06,0.0
2002-04-07,0.0
2002-04-08,40.51
2002-04-09,1.23
2002-04-10,0.0
2002-04-11,11.15
2002-04-12,0.72
2002-04-13,0.0
2002-04-14,0.0
2002-04-15,3.02
2002-04-16,0.0
2002-04-17,0.0
2002-04-18,0.0
2002-04-19,0.0
2002-04-20,2.7
2002-04-21,8.2
2002-04-22,37.2
2002-04-23,0.0
2002-04-24,0.0
2002-04-25,0.0
2002-04-26,2.18
2002-04-27,0.08
2002-04-28,0.0
2002-04-29,1.21
2002-04-30,0.51
2002-05-01,37.52
2002-05-02,4.88
2002-05-03,3.88
2002-05-04,15.85
2002-05-05,1.74
2002-05-06,16.77
2002-05-07,0.35
2002-05-08,25.52
2002-05-09,0.08
2002-05-10,13.22
2002-05-11,29.9
2002-05-12,0.86
2002-05-13,1.63
2002-05-14,0.81
2002-05-15,0.1
2002-05-16,0.22
2002-05-17,10.44
2002-05-18,0.0
2002-05-19,0.0
2002-05-20,0.0
2002-05-21,2.44
2002-05-22,54.69
2002-05-23,55.69
2002-05-24,17.36
2002-05-25,26.23
2002-05-26,37.78
2002-05-27,36.82
2002-05-28,1.3
2002-05-29,7.34
2002-05-30,1.03
2002-05-31,1.04
2002-06-01,17.99
2002-06-02,3.31
2002-06-03,8.47
2002-06-04,19.48
2002-06-05,0.08
2002-06-06,4.26
2002-06-07,41.52
2002-06-08,62.77
2002-06-09,26.0
2002-06-10,5.16
2002-06-11,28.03
2002-06-12,54.76
2002-06-13,81.39
2002-06-14,11.41
2002-06-15,10.15
2002-06-16,3.37
2002-06-17,0.64
2002-06-18,1.51
2002-06-19,0.48
2002-06-20,1.15
2002-06-21,24.54
2002-06-22,6.8
2002-06-23,40.16
2002-06-24,3.6
2002-06-25,16.3
2002-06-26,7.4
2002-06-27,4.66
2002-06-28,25.77
2002-06-29,2.12
2002-06-30,40.26
2002-07-01,44.02
2002-07-02,19.9
2002-07-03,33.27
2002-07-04,33.34
2002-07-05,63.32
2002-07-06,33.43
2002-07-07,7.29
2002-07-08,35.29
2002-07-09,23.86
2002-07-10,40.98
2002-07-11,19.68
2002-07-12,5.5
2002-07-13,5.62
2002-07-14,3.46
2002-07-15,37.74
2002-07-16,34.1
2002-07-17,0.86
2002-07-18,3.76
2002-07-19,32.62
2002-07-20,16.74
2002-07-21,59.47
2002-07-22,25.08
2002-07-23,19.32
2002-07-24,1.92
2002-07-25,4.24
2002-07-26,1.04
2002-07-27,8.73
2002-07-28,6.89
2002-07-29,34.21
2002-07-30,19.26
2002-07-31,5.5
2002-08-01,4.88
2002-08-02,11.46
2002-08-03,11.96
2002-08-04,1.66
2002-08-05,3.38
2002-08-06,13.09
2002-08-07,17.79
2002-08-08,7.54
2002-08-09,1.8
2002-08-10,11.48
2002-08-11,6.7
2002-08-12,15.6
2002-08-13,9.75
2002-08-14,29.79
2002-08-15,9.77
2002-08-16,10.2
2002-08-17,20.0
2002-08-18,5.07
2002-08-19,13.97
2002-08-20,12.0
2002-08-21,23.72
2002-08-22,19.26
2002-08-23,3.31
2002-08-24,10.96
2002-08-25,2.02
2002-08-26,27.3
2002-08-27,88.31
2002-08-28,7.96
2002-08-29,1.42
2002-08-30,0.57
2002-08-31,0.38
2002-09-01,0.13
2002-09-02,0.05
2002-09-03,0.06
2002-09-04,3.62
2002-09-05,22.0
2002-09-06,4.53
2002-09-07,32.46
2002-09-08,23.92
2002-09-09,5.21
2002-09-10,2.04
2002-09-11,1.87
2002-09-12,4.62
2002-09-13,0.27
2002-09-14,0.5
2002-09-15,0.0
2002-09-16,2.74
2002-09-17,0.18
2002-09-18,0.0
2002-09-19,30.03
2002-09-20,78.28
2002-09-21,11.01
2002-09-22,2.82
2002-09-23,16.76
2002-09-24,13.08
2002-09-25,0.0
2002-09-26,19.82
2002-09-27,18.74
2002-09-28,11.62
2002-09-29,6.91
2002-09-30,0.0
2002-10-01,0.0
2002-10-02,0.0
2002-10-03,0.0
2002-10-04,0.0
2002-10-05,0.0
2002-10-06,0.0
2002-10-07,13.87
2002-10-08,2.83
2002-10-09,2.06
2002-10-10,1.1
2002-10-11,0.0
2002-10-12,0.08
2002-10-13,14.56
2002-10-14,51.3
2002-10-15,3.57
2002-10-16,0.0
2002-10-17,0.0
2002-10-18,3.28
2002-10-19,11.2
2002-10-20,1.23
2002-10-21,0.0
2002-10-22,0.0
2002-10-23,0.0
2002-10-24,1.84
2002-10-25,0.0
2002-10-26,0.0
2002-10-27,0.0
2002-10-28,0.0
2002-10-29,0.0
2002-10-30,0.0
2002-10-31,0.0
2002-11-01,0.0
2002-11-02,0.3
2002-11-03,0.0
2002-11-04,0.0
2002-11-05,0.0
2002-11-06,0.84
2002-11-07,8.0
2002-11-08,1.3
2002-11-09,2.9
2002-11-10,0.14
2002-11-11,10.62
2002-11-12,86.92
2002-11-13,0.0
2002-11-14,0.0
2002-11-15,0.0
2002-11-16,0.0
2002-11-17,0.0
2002-11-18,0.0
2002-11-19,0.0
2002-11-20,0.0
2002-11-21,0.0
2002-11-22,0.0
2002-11-23,0.0
2002-11-24,0.0
2002-11-25,0.0
2002-11-26,0.0
2002-11-27,0.0
2002-11-28,0.0
2002-11-29,0.0
2002-11-30,0.0
2002-12-01,0.0
2002-12-02,0.0
2002-12-03,0.0
2002-12-04,0.0
2002-12-05,0.0
2002-12-06,0.0
2002-12-07,0.0
2002-12-08,0.0
2002-12-09,0.0
2002-12-10,0.0
2002-12-11,0.0
2002-12-12,0.0
2002-12-13,0.0
2002-12-14,0.0
2002-12-15,0.0
2002-12-16,0.0
2002-12-17,0.0
2002-12-18,0.0
2002-12-19,0.0
2002-12-20,0.0
2002-12-21,0.0
2002-12-22,0.0
2002-12-23,0.0
2002-12-24,0.0
2002-12-25,0.0
2002-12-26,0.0
2002-12-27,0.0
2002-12-28,0.0
2002-12-29,0.0
2002-12-30,0.0
2002-12-31,0.0
2003-01-01,0.0
2003-01-02,0.0
2003-01-03,0.0
2003-01-04,0.0
2003-01-05,0.0
2003-01-06,0.0
2003-01-07,0.0
2003-01-08,0.0
2003-01-09,0.0
2003-01-10,0.0
2003-01-11,0.0
2003-01-12,0.0
2003-01-13,0.0
2003-01-14,0.0
2003-01-15,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-18,0.0
2003-01-19,0.0
2003-01-20,0.0
2003-01-21,0.0
2003-01-22,0.0
2003-01-23,0.0
2003-01-24,0.0
2003-01-25,0.0
2003-01-26,0.0
2003-01-27,0.0
2003-01-28,0.0
2003-01-29,0.0
2003-01-30,0.06
2003-01-31,0.0
2003-02-01,0.0
2003-02-02,0.09
2003-02-03,0.0
2003-02-04,5.96
2003-02-05,0.4
2003-02-06,0.0
2003-02-07,0.0
2003-02-08,0.0
2003-02-09,0.19
2003-02-10,0.0
2003-02-11,0.0
2003-02-12,0.0
2003-02-13,5.04
2003-02-14,0.0
2003-02-15,0.0
2003-02-16,0.0
2003-02-17,0.0
2003-02-18,0.0
2003-02-19,0.07
2003-02-20,0.0
2003-02-21,0.0
2003-02-22,0.0
2003-02-23,0.0
2003-02-24,0.0
2003-02-25,0.0
2003-02-26,0.0
2003-02-27,0.0
2003-02-28,0.0
2003-03-01,0.0
2003-03-02,0.0
2003-03-03,0.0
2003-03-04,0.0
2003-03-05,0.0
2003-03-06,0.0
2003-03-07,0.0
2003-03-08,0.0
2003-03-09,0.0
2003-03-10,0.0
2003-03-11,0.6
2003-03-12,13.84
2003-03-13,3.48
2003-03-14,10.13
2003-03-15,0.0
