date,rainfall_mm
2001-01-01,0.0
2001-01-02,0.0
2001-01-03,0.0
2001-01-04,0.0
2001-01-05,0.0
2001-01-06,0.0
2001-01-07,0.0
2001-01-08,0.0
2001-01-09,0.0
2001-01-10,0.0
2001-01-11,0.0
2001-01-12,0.0
2001-01-13,0.0
2001-01-14,0.0
2001-01-15,0.0
2001-01-16,0.0
2001-01-17,0.0
2001-01-18,0.0
2001-01-19,0.0
2001-01-20,0.0
2001-01-21,0.0
2001-01-22,0.0
2001-01-23,0.0
2001-01-24,0.0
2001-01-25,0.0
2001-01-26,0.0
2001-01-27,0.0
2001-01-28,0.0
2001-01-29,0.0
2001-01-30,0.0
2001-01-31,0.0
2001-02-01,0.0
2001-02-02,0.0
2001-02-03,0.0
2001-02-04,0.0
2001-02-05,0.0
2001-02-06,0.0
2001-02-07,0.0
2001-02-08,0.0
2001-02-09,0.0
2001-02-10,0.0
2001-02-11,0.0
2001-02-12,0.0
2001-02-13,0.0
2001-02-14,0.0
2001-02-15,0.0
2001-02-16,0.0
2001-02-17,0.0
2001-02-18,0.0
2001-02-19,0.0
2001-02-20,0.0
2001-02-21,13.96
2001-02-22,8.39
2001-02-23,0.0
2001-02-24,0.0
2001-02-25,0.0
2001-02-26,6.82
2001-02-27,0.0
2001-02-28,0.02
2001-03-01,0.0
2001-03-02,0.0
2001-03-03,0.0
2001-03-04,0.0
2001-03-05,0.6
2001-03-06,0.0
2001-03-07,0.0
2001-03-08,0.0
2001-03-09,0.0
2001-03-10,0.0
2001-03-11,0.0
2001-03-12,0.0
2001-03-13,0.0
2001-03-14,0.0
2001-03-15,0.0
2001-03-16,0.0
2001-03-17,0.0
2001-03-18,0.0
2001-03-19,0.0
2001-03-20,0.0
2001-03-21,0.0
2001-03-22,2.4
2001-03-23,3.94
2001-03-24,0.0
2001-03-25,0.02
2001-03-26,0.0
2001-03-27,0.0
2001-03-28,0.0
2001-03-29,0.0
2001-03-30,2.22
2001-03-31,0.0
2001-04-01,2.8
2001-04-02,9.78
2001-04-03,0.0
2001-04-04,0.0
2001-04-05,0.0
2001-04-06,1.62
2001-04-07,0.0
2001-04-08,0.29
2001-04-09,1.23
2001-04-10,0.3
2001-04-11,0.07
2001-04-12,0.28
2001-04-13,9.36
2001-04-14,0.26
2001-04-15,1.02
2001-04-16,0.34
2001-04-17,0.18
2001-04-18,5.27
2001-04-19,0.17
2001-04-20,0.0
2001-04-21,0.0
2001-04-22,0.0
2001-04-23,0.0
2001-04-24,0.0
2001-04-25,0.0
2001-04-26,0.0
2001-04-27,0.24
2001-04-28,0.0
2001-04-29,11.8
2001-04-30,6.26
2001-05-01,0.01
2001-05-02,1.2
2001-05-03,72.97
2001-05-04,4.17
2001-05-05,7.64
2001-05-06,6.7
2001-05-07,31.84
2001-05-08,120.64
2001-05-09,8.1
2001-05-10,28.17
2001-05-11,27.67
2001-05-12,0.54
2001-05-13,0.13
2001-05-14,0.3
2001-05-15,1.18
2001-05-16,1.51
2001-05-17,2.37
2001-05-18,1.82
2001-05-19,8.85
2001-05-20,10.12
2001-05-21,1.68
2001-05-22,5.68
2001-05-23,12.2
2001-05-24,13.74
2001-05-25,0.0
2001-05-26,20.8
2001-05-27,2.4
2001-05-28,3.1
2001-05-29,10.59
2001-05-30,11.9
2001-05-31,5.31
2001-06-01,1.6
2001-06-02,7.44
2001-06-03,31.03
2001-06-04,9.78
2001-06-05,52.56
2001-06-06,37.42
2001-06-07,53.38
2001-06-08,28.62
2001-06-09,12.22
2001-06-10,2.38
2001-06-11,10.09
2001-06-12,7.8
2001-06-13,73.32
2001-06-14,229.36
2001-06-15,23.39
2001-06-16,70.02
2001-06-17,61.92
2001-06-18,7.72
2001-06-19,32.86
2001-06-20,19.42
2001-06-21,1.3
2001-06-22,11.8
2001-06-23,6.96
2001-06-24,7.29
2001-06-25,3.38
2001-06-26,8.3
2001-06-27,2.28
2001-06-28,12.31
2001-06-29,4.5
2001-06-30,27.01
2001-07-01,26.24
2001-07-02,12.02
2001-07-03,9.5
2001-07-04,5.16
2001-07-05,8.31
2001-07-06,9.34
2001-07-07,7.54
2001-07-08,2.12
2001-07-09,25.0
2001-07-10,10.94
2001-07-11,5.61
2001-07-12,1.54
2001-07-13,11.16
2001-07-14,10.06
2001-07-15,10.31
2001-07-16,2.95
2001-07-17,15.72
2001-07-18,9.73
2001-07-19,6.94
2001-07-20,20.92
2001-07-21,29.42
2001-07-22,1.4
2001-07-23,2.29
2001-07-24,20.82
2001-07-25,32.88
2001-07-26,5.42
2001-07-27,7.48
2001-07-28,19.89
2001-07-29,27.04
2001-07-30,44.36
2001-07-31,48.62
2001-08-01,28.62
2001-08-02,10.28
2001-08-03,1.04
2001-08-04,26.94
2001-08-05,22.06
2001-08-06,4.09
2001-08-07,21.7
2001-08-08,41.45
2001-08-09,1.94
2001-08-10,2.55
2001-08-11,3.24
2001-08-12,16.32
2001-08-13,1.47
2001-08-14,7.07
2001-08-15,12.44
2001-08-16,3.43
2001-08-17,8.7
2001-08-18,11.07
2001-08-19,11.41
2001-08-20,2.61
2001-08-21,2.17
2001-08-22,0.61
2001-08-23,1.32
2001-08-24,3.5
2001-08-25,2.22
2001-08-26,31.63
2001-08-27,21.18
2001-08-28,12.89
2001-08-29,24.38
2001-08-30,0.91
2001-08-31,6.48
2001-09-01,14.06
2001-09-02,2.27
2001-09-03,0.0
2001-09-04,9.7
2001-09-05,5.22
2001-09-06,7.93
2001-09-07,13.14
2001-09-08,0.88
2001-09-09,12.65
2001-09-10,8.44
2001-09-11,7.44
2001-09-12,2.64
2001-09-13,0.21
2001-09-14,1.12
2001-09-15,0.74
2001-09-16,43.71
2001-09-17,24.27
2001-09-18,17.09
2001-09-19,14.44
2001-09-20,0.46
2001-09-21,0.28
2001-09-22,0.64
2001-09-23,28.82
2001-09-24,21.76
2001-09-25,8.33
2001-09-26,0.06
2001-09-27,4.15
2001-09-28,16.26
2001-09-29,0.64
2001-09-30,2.56
2001-10-01,6.2
2001-10-02,10.15
2001-10-03,26.36
2001-10-04,8.66
2001-10-05,0.0
2001-10-06,2.42
2001-10-07,0.0
2001-10-08,0.05
2001-10-09,15.78
2001-10-10,18.36
2001-10-11,1.12
2001-10-12,0.7
2001-10-13,1.86
2001-10-14,16.78
2001-10-15,0.0
2001-10-16,0.0
2001-10-17,6.66
2001-10-18,11.93
2001-10-19,0.25
2001-10-20,0.51
2001-10-21,0.0
2001-10-22,0.0
2001-10-23,0.0
2001-10-24,0.0
2001-10-25,0.0
2001-10-26,6.7
2001-10-27,33.76
2001-10-28,6.82
2001-10-29,7.15
2001-10-30,66.09
2001-10-31,1.12
2001-11-01,0.0
2001-11-02,0.0
2001-11-03,0.0
2001-11-04,0.0
2001-11-05,0.0
2001-11-06,2.84
2001-11-07,5.78
2001-11-08,3.84
2001-11-09,0.04
2001-11-10,21.6
2001-11-11,23.92
2001-11-12,16.0
2001-11-13,0.59
2001-11-14,0.0
2001-11-15,0.0
2001-11-16,0.0
2001-11-17,0.0
2001-11-18,0.0
2001-11-19,0.0
2001-11-20,0.0
2001-11-21,0.0
2001-11-22,0.0
2001-11-23,0.01
2001-11-24,0.0
2001-11-25,0.0
2001-11-26,0.0
2001-11-27,0.0
2001-11-28,0.0
2001-11-29,0.0
2001-11-30,0.0
2001-12-01,0.0
2001-12-02,0.0
2001-12-03,0.0
2001-12-04,0.0
2001-12-05,0.0
2001-12-06,0.0
2001-12-07,0.0
2001-12-08,0.0
2001-12-09,0.0
2001-12-10,0.0
2001-12-11,0.0
2001-12-12,0.0
2001-12-13,0.0
2001-12-14,0.0
2001-12-15,0.0
2001-12-16,0.0
2001-12-17,0.0
2001-12-18,0.0
2001-12-19,0.0
2001-12-20,0.0
2001-12-21,0.0
2001-12-22,0.0
2001-12-23,0.0
2001-12-24,0.0
2001-12-25,0.0
2001-12-26,0.0
2001-12-27,0.0
2001-12-28,0.0
2001-12-29,0.0
2001-12-30,0.0
2001-12-31,0.0
2002-01-01,0.0
2002-01-02,0.0
2002-01-03,0.0
2002-01-04,0.0
2002-01-05,0.0
2002-01-06,0.01
2002-01-07,0.64
2002-01-08,0.88
2002-01-09,0.0
2002-01-10,0.0
2002-01-11,0.0
2002-01-12,0.0
2002-01-13,0.0
2002-01-14,0.0
2002-01-15,0.0
2002-01-16,0.0
2002-01-17,0.0
2002-01-18,0.0
2002-01-19,0.0
2002-01-20,0.0
2002-01-21,0.0
2002-01-22,1.7
2002-01-23,4.9
2002-01-24,0.0
2002-01-25,0.0
2002-01-26,0.0
2002-01-27,0.0
2002-01-28,2.0
2002-01-29,1.6
2002-01-30,1.27
2002-01-31,0.0
2002-02-01,0.0
2002-02-02,0.0
2002-02-03,0.0
2002-02-04,0.0
2002-02-05,0.0
2002-02-06,0.0
2002-02-07,0.0
2002-02-08,0.0
2002-02-09,0.0
2002-02-10,0.0
2002-02-11,0.0
2002-02-12,0.2
2002-02-13,0.77
2002-02-14,0.0
2002-02-15,0.0
2002-02-16,0.0
2002-02-17,0.0
2002-02-18,0.0
2002-02-19,0.0
2002-02-20,0.0
2002-02-21,0.0
2002-02-22,0.0
2002-02-23,0.0
2002-02-24,0.0
2002-02-25,0.0
2002-02-26,0.0
2002-02-27,0.0
2002-02-28,0.0
2002-03-01,0.0
2002-03-02,0.0
2002-03-03,0.0
2002-03-04,0.0
2002-03-05,0.0
2002-03-06,0.0
2002-03-07,0.0
2002-03-08,0.0
2002-03-09,0.0
2002-03-10,0.0
2002-03-11,0.14
2002-03-12,0.0
2002-03-13,0.0
2002-03-14,0.0
2002-03-15,3.85
2002-03-16,0.0
2002-03-17,0.0
2002-03-18,0.0
2002-03-19,0.0
2002-03-20,0.0
2002-03-21,0.0
2002-03-22,0.0
2002-03-23,0.0
2002-03-24,0.04
2002-03-25,0.0
2002-03-26,0.0
2002-03-27,34.56
2002-03-28,2.06
2002-03-29,29.53
2002-03-30,0.0
2002-03-31,0.23
2002-04-01,2.31
2002-04-02,0.3
2002-04-03,22.47
2002-04-04,0.0
2002-04-05,0.88
2002-04-06,0.0
2002-04-07,0.0
2002-04-08,10.42
2002-04-09,1.32
2002-04-10,13.24
2002-04-11,15.19
2002-04-12,5.16
2002-04-13,0.0
2002-04-14,0.0
2002-04-15,1.36
2002-04-16,0.0
2002-04-17,0.0
2002-04-18,0.0
2002-04-19,0.0
2002-04-20,9.36
2002-04-21,3.74
2002-04-22,11.76
2002-04-23,0.61
2002-04-24,0.0
2002-04-25,0.0
2002-04-26,1.98
2002-04-27,4.14
2002-04-28,0.0
2002-04-29,4.21
2002-04-30,0.04
2002-05-01,0.0
2002-05-02,0.51
2002-05-03,1.58
2002-05-04,12.04
2002-05-05,5.12
2002-05-06,4.4
2002-05-07,0.0
2002-05-08,95.76
2002-05-09,2.8
2002-05-10,37.29
2002-05-11,44.56
2002-05-12,10.1
2002-05-13,15.55
2002-05-14,0.3
2002-05-15,0.24
2002-05-16,1.08
2002-05-17,0.76
2002-05-18,0.02
2002-05-19,0.0
2002-05-20,0.0
2002-05-21,0.71
2002-05-22,75.83
2002-05-23,19.52
2002-05-24,4.82
2002-05-25,11.59
2002-05-26,9.41
2002-05-27,17.94
2002-05-28,4.81
2002-05-29,15.9
2002-05-30,3.66
2002-05-31,1.3
2002-06-01,10.28
2002-06-02,2.9
2002-06-03,23.67
2002-06-04,9.72
2002-06-05,0.67
2002-06-06,3.02
2002-06-07,58.0
2002-06-08,12.48
2002-06-09,26.71
2002-06-10,8.4
2002-06-11,21.93
2002-06-12,48.1
2002-06-13,82.84
2002-06-14,6.08
2002-06-15,22.48
2002-06-16,3.17
2002-06-17,1.72
2002-06-18,1.97
2002-06-19,0.8
2002-06-20,7.18
2002-06-21,13.27
2002-06-22,42.35
2002-06-23,24.99
2002-06-24,4.65
2002-06-25,20.12
2002-06-26,10.39
2002-06-27,6.95
2002-06-28,25.81
2002-06-29,15.72
2002-06-30,91.26
2002-07-01,86.96
2002-07-02,21.48
2002-07-03,38.1
2002-07-04,17.08
2002-07-05,32.56
2002-07-06,43.24
2002-07-07,15.08
2002-07-08,51.48
2002-07-09,37.06
2002-07-10,33.18
2002-07-11,9.8
2002-07-12,6.27
2002-07-13,7.26
2002-07-14,3.03
2002-07-15,35.88
2002-07-16,27.98
2002-07-17,0.57
2002-07-18,12.98
2002-07-19,16.78
2002-07-20,18.05
2002-07-21,45.88
2002-07-22,27.2
2002-07-23,11.61
2002-07-24,2.4
2002-07-25,19.69
2002-07-26,1.84
2002-07-27,10.74
2002-07-28,4.03
2002-07-29,10.53
2002-07-30,14.86
2002-07-31,6.92
2002-08-01,3.46
2002-08-02,17.56
2002-08-03,9.98
2002-08-04,3.12
2002-08-05,1.36
2002-08-06,15.88
2002-08-07,19.54
2002-08-08,2.63
2002-08-09,0.06
2002-08-10,4.34
2002-08-11,28.42
2002-08-12,29.96
2002-08-13,9.89
2002-08-14,30.49
2002-08-15,21.16
2002-08-16,29.24
2002-08-17,21.83
2002-08-18,8.78
2002-08-19,19.87
2002-08-20,10.37
2002-08-21,23.78
2002-08-22,20.18
2002-08-23,2.7
2002-08-24,5.9
2002-08-25,1.66
2002-08-26,25.9
2002-08-27,28.7
2002-08-28,19.58
2002-08-29,2.91
2002-08-30,2.72
2002-08-31,0.7
2002-09-01,1.5
2002-09-02,1.16
2002-09-03,7.46
2002-09-04,11.08
2002-09-05,9.6
2002-09-06,8.2
2002-09-07,8.86
2002-09-08,29.42
2002-09-09,9.46
2002-09-10,16.41
2002-09-11,7.5
2002-09-12,9.9
2002-09-13,1.91
2002-09-14,1.45
2002-09-15,3.43
2002-09-16,16.13
2002-09-17,1.47
2002-09-18,3.91
2002-09-19,27.38
2002-09-20,64.68
2002-09-21,9.4
2002-09-22,3.7
2002-09-23,37.2
2002-09-24,18.66
2002-09-25,2.8
2002-09-26,16.79
2002-09-27,9.97
2002-09-28,8.64
2002-09-29,4.38
2002-09-30,0.04
2002-10-01,0.01
2002-10-02,0.44
2002-10-03,0.3
2002-10-04,1.32
2002-10-05,0.0
2002-10-06,0.0
2002-10-07,27.3
2002-10-08,0.44
2002-10-09,1.9
2002-10-10,0.0
2002-10-11,0.0
2002-10-12,0.54
2002-10-13,11.36
2002-10-14,40.77
2002-10-15,0.7
2002-10-16,0.0
2002-10-17,0.0
2002-10-18,11.26
2002-10-19,7.04
2002-10-20,0.73
2002-10-21,0.0
2002-10-22,0.0
2002-10-23,0.0
2002-10-24,1.46
2002-10-25,0.0
2002-10-26,0.0
2002-10-27,0.0
2002-10-28,0.0
2002-10-29,0.0
2002-10-30,0.0
2002-10-31,0.0
2002-11-01,0.0
2002-11-02,1.94
2002-11-03,0.0
2002-11-04,0.0
2002-11-05,0.0
2002-11-06,0.0
2002-11-07,5.64
2002-11-08,1.66
2002-11-09,2.0
2002-11-10,1.65
2002-11-11,10.78
2002-11-12,79.74
2002-11-13,0.0
2002-11-14,0.0
2002-11-15,0.0
2002-11-16,0.0
2002-11-17,0.0
2002-11-18,0.0
2002-11-19,0.0
2002-11-20,0.0
2002-11-21,0.0
2002-11-22,0.0
2002-11-23,0.0
2002-11-24,0.0
2002-11-25,0.0
2002-11-26,0.0
2002-11-27,0.0
2002-11-28,0.0
2002-11-29,0.0
2002-11-30,0.0
2002-12-01,0.0
2002-12-02,0.0
2002-12-03,0.0
2002-12-04,0.0
2002-12-05,0.0
2002-12-06,0.0
2002-12-07,0.12
2002-12-08,0.0
2002-12-09,0.0
2002-12-10,0.0
2002-12-11,0.0
2002-12-12,0.0
2002-12-13,0.0
2002-12-14,0.0
2002-12-15,0.0
2002-12-16,0.0
2002-12-17,0.0
2002-12-18,0.0
2002-12-19,0.0
2002-12-20,0.0
2002-12-21,0.0
2002-12-22,0.0
2002-12-23,0.0
2002-12-24,0.0
2002-12-25,0.0
2002-12-26,0.0
2002-12-27,0.0
2002-12-28,0.0
2002-12-29,0.0
2002-12-30,0.0
2002-12-31,0.0
2003-01-01,0.0
2003-01-02,0.0
2003-01-03,0.0
2003-01-04,0.0
2003-01-05,0.0
2003-01-06,0.0
2003-01-07,0.0
2003-01-08,0.0
2003-01-09,0.0
2003-01-10,0.0
2003-01-11,0.0
2003-01-12,0.0
2003-01-13,0.0
2003-01-14,0.0
2003-01-15,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-18,0.0
2003-01-19,0.0
2003-01-20,0.0
2003-01-21,0.0
2003-01-22,0.0
2003-01-23,0.0
2003-01-24,0.0
2003-01-25,0.0
2003-01-26,0.0
2003-01-27,0.0
2003-01-28,0.0
2003-01-29,0.0
2003-01-30,0.0
2003-01-31,0.0
2003-02-01,0.0
2003-02-02,0.98
2003-02-03,0.0
2003-02-04,7.99
2003-02-05,0.14
2003-02-06,0.0
2003-02-07,0.0
2003-02-08,0.0
2003-02-09,0.02
2003-02-10,0.0
2003-02-11,0.0
2003-02-12,0.0
2003-02-13,0.06
2003-02-14,0.0
2003-02-15,0.0
2003-02-16,0.0
2003-02-17,0.0
2003-02-18,0.0
2003-02-19,0.27
2003-02-20,0.0
2003-02-21,0.0
2003-02-22,0.0
2003-02-23,0.0
2003-02-24,0.0
2003-02-25,0.0
2003-02-26,0.0
2003-02-27,0.0
2003-02-28,0.0
2003-03-01,0.0
2003-03-02,0.0
2003-03-03,0.0
2003-03-04,0.07
2003-03-05,0.0
2003-03-06,0.0
2003-03-07,0.0
2003-03-08,0.0
2003-03-09,0.0
2003-03-10,0.0
2003-03-11,0.08
2003-03-12,16.7
2003-03-13,4.61
2003-03-14,2.76
2003-03-15,1.02
