date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,rh_pct,wind_speed_ms,solar_rad_mj_m2
2001-01-01,0.0,18.05,24.95,12.63,66.46,1.01,16.31
2001-01-02,0.01,18.43,25.72,13.21,71.03,1.36,15.92
2001-01-03,0.0,19.06,26.37,14.26,73.79,1.66,15.68
2001-01-04,0.0,16.32,24.01,10.36,66.19,1.49,14.49
2001-01-05,0.0,15.37,22.63,10.72,62.75,1.17,14.69
2001-01-06,0.0,14.49,22.36,8.26,65.28,1.29,15.51
2001-01-07,0.0,14.96,22.45,9.49,63.04,1.11,16.08
2001-01-08,0.0,15.55,23.38,9.67,61.18,1.22,16.67
2001-01-09,0.0,16.17,23.96,9.15,59.56,1.22,13.62
2001-01-10,0.0,14.98,23.25,9.86,60.59,1.45,14.2
2001-01-11,0.0,14.07,22.19,9.34,50.9,1.24,15.84
2001-01-12,0.0,13.9,22.38,7.62,56.75,1.45,15.87
2001-01-13,0.0,15.1,23.66,9.35,55.22,1.12,16.28
2001-01-14,0.0,15.79,24.27,9.97,56.25,1.28,16.7
2001-01-15,0.0,16.75,25.27,10.74,53.71,1.33,17.55
2001-01-16,0.0,17.41,25.43,11.99,53.07,0.98,17.76
2001-01-17,0.0,18.06,26.49,12.05,54.12,1.33,18.14
2001-01-18,0.0,17.8,26.15,11.35,54.91,1.17,18.25
2001-01-19,0.0,17.86,26.11,11.54,55.22,1.27,18.47
2001-01-20,0.0,18.85,26.85,12.29,51.02,0.98,18.35
2001-01-21,0.0,18.22,26.1,13.27,52.97,1.08,18.22
2001-01-22,0.0,18.15,25.41,12.14,46.32,1.07,17.77
2001-01-23,0.05,18.46,26.87,12.01,54.67,1.45,13.55
2001-01-24,0.0,18.04,26.18,12.78,57.84,1.61,14.97
2001-01-25,0.0,15.12,23.19,8.45,45.63,1.44,16.8
2001-01-26,0.0,14.41,22.66,7.87,44.69,1.31,17.17
2001-01-27,0.0,14.47,22.58,7.72,49.1,1.11,16.44
2001-01-28,0.0,15.4,24.21,7.81,54.2,1.13,17.1
2001-01-29,0.0,16.38,25.31,8.89,55.07,1.18,17.31
2001-01-30,0.0,17.98,25.3,12.69,50.51,0.8,16.75
2001-01-31,0.0,17.97,27.08,13.1,53.85,1.03,15.86
2001-02-01,0.0,19.1,27.61,11.49,57.47,1.18,14.52
2001-02-02,0.0,20.02,29.08,12.58,62.91,1.34,16.18
2001-02-03,0.0,19.45,27.66,13.9,47.78,1.28,16.69
2001-02-04,0.0,18.8,29.16,10.57,44.96,1.69,19.12
2001-02-05,0.0,19.82,28.88,12.29,37.13,1.44,15.36
2001-02-06,0.0,20.64,30.04,13.64,42.71,1.39,14.93
2001-02-07,0.0,18.93,27.76,12.33,46.34,1.48,19.07
2001-02-08,0.0,18.86,26.63,13.49,35.99,1.17,19.12
2001-02-09,0.0,18.9,26.85,12.17,35.51,1.03,18.44
2001-02-10,0.0,18.63,26.41,11.8,38.41,1.03,17.77
2001-02-11,0.0,19.49,27.59,11.51,38.84,1.07,18.59
2001-02-12,0.0,18.75,28.02,10.62,49.19,1.31,19.62
2001-02-13,0.0,19.46,29.28,11.44,49.56,1.61,20.48
2001-02-14,0.0,20.54,29.34,12.44,44.61,1.39,20.36
2001-02-15,0.0,22.56,32.23,13.28,39.66,1.13,17.38
2001-02-16,0.0,22.97,32.32,14.39,37.72,1.16,20.58
2001-02-17,0.0,23.96,32.66,16.86,39.19,1.26,19.75
2001-02-18,0.0,24.39,32.78,16.33,40.38,1.27,19.59
2001-02-19,0.04,24.1,32.65,17.43,46.26,1.5,16.82
2001-02-20,0.0,23.57,32.06,16.28,40.02,1.41,19.56
2001-02-21,0.34,23.17,31.75,16.15,42.96,1.52,18.07
2001-02-22,0.91,23.63,30.41,16.53,55.13,0.66,16.12
2001-02-23,0.0,22.85,31.2,15.32,45.9,1.27,19.1
2001-02-24,1.17,22.43,31.17,14.07,47.99,1.51,17.28
2001-02-25,3.36,23.75,31.58,16.51,73.39,2.64,15.8
2001-02-26,43.93,23.61,28.0,20.74,85.4,3.11,12.23
2001-02-27,9.79,24.41,30.5,20.06,76.33,1.83,15.77
2001-02-28,0.0,24.49,32.17,18.38,67.48,1.25,17.42
2001-03-01,0.23,24.54,32.68,17.27,59.08,1.36,18.54
2001-03-02,0.0,25.21,32.32,18.07,52.55,1.56,20.21
2001-03-03,0.0,24.15,32.81,17.29,40.91,1.76,21.99
2001-03-04,0.0,23.9,32.94,14.32,33.12,1.5,23.6
2001-03-05,0.29,23.22,31.19,17.47,38.11,2.15,16.85
2001-03-06,0.0,22.86,30.86,16.08,50.67,1.47,22.61
2001-03-07,0.0,22.76,31.63,15.21,48.8,1.74,23.0
2001-03-08,0.0,23.43,32.13,14.48,43.19,1.52,21.14
2001-03-09,0.0,24.34,32.88,16.13,38.92,1.55,18.28
2001-03-10,0.0,24.57,33.53,17.44,33.62,1.45,22.1
2001-03-11,0.0,23.95,33.66,14.95,32.66,1.59,23.57
2001-03-12,0.0,24.47,33.62,14.83,30.6,1.68,23.09
2001-03-13,0.0,25.35,33.54,18.47,28.46,1.49,23.4
2001-03-14,0.01,25.32,34.86,16.36,33.7,1.01,22.32
2001-03-15,0.06,26.28,35.23,17.43,43.33,1.36,21.73
2001-03-16,0.0,26.8,35.49,18.9,47.66,1.74,21.14
2001-03-17,0.0,27.41,35.48,19.34,32.16,1.21,23.32
2001-03-18,1.28,26.92,35.92,19.18,43.58,1.59,21.97
2001-03-19,0.01,27.33,36.06,19.13,31.32,1.23,24.2
2001-03-20,0.0,27.29,37.2,16.93,30.38,1.39,23.9
2001-03-21,0.0,28.22,37.54,18.72,34.05,1.27,22.8
2001-03-22,0.01,29.32,37.97,19.68,43.64,1.54,21.93
2001-03-23,0.9,27.09,33.01,23.15,61.15,1.41,14.94
2001-03-24,1.85,29.05,36.34,22.61,50.34,1.87,19.86
2001-03-25,0.48,28.53,36.96,21.75,43.61,1.47,21.67
2001-03-26,0.03,28.2,37.33,19.67,48.73,2.21,19.91
2001-03-27,1.05,27.99,36.87,19.88,52.5,2.28,21.75
2001-03-28,3.66,28.51,35.67,21.1,58.94,1.97,18.98
2001-03-29,5.51,28.94,35.13,23.02,60.93,1.94,20.96
2001-03-30,2.02,28.14,33.75,23.07,66.0,1.72,17.08
2001-03-31,1.29,27.06,31.99,23.75,69.48,1.17,20.61
2001-04-01,3.65,28.24,32.58,22.82,60.2,0.98,22.96
2001-04-02,6.13,27.7,33.3,21.76,61.25,1.33,19.92
2001-04-03,0.5,29.46,36.88,21.9,48.81,1.26,23.88
2001-04-04,0.0,30.82,37.68,23.44,36.41,1.2,24.68
2001-04-05,0.3,30.04,38.15,22.92,35.89,1.49,23.86
2001-04-06,0.0,30.64,39.9,19.63,33.49,1.2,24.16
2001-04-07,0.0,31.97,40.75,23.79,30.05,1.47,24.61
2001-04-08,0.03,32.17,39.78,25.02,49.88,3.1,22.92
2001-04-09,0.02,30.8,38.29,25.69,59.71,3.54,16.52
2001-04-10,0.25,30.36,37.83,25.09,60.94,3.39,19.64
2001-04-11,0.6,30.49,38.68,23.48,59.91,2.75,20.93
2001-04-12,0.72,29.98,36.89,24.07,59.79,2.77,19.26
2001-04-13,5.23,29.22,36.6,25.47,62.86,2.72,12.18
2001-04-14,1.8,28.41,34.65,23.26,56.77,1.17,16.05
2001-04-15,0.41,29.3,35.03,24.24,52.66,1.07,19.73
2001-04-16,1.29,29.77,36.1,22.93,54.56,1.47,22.27
2001-04-17,6.48,30.26,37.25,23.81,59.58,1.74,23.22
2001-04-18,3.87,29.12,36.27,24.62,58.11,1.59,20.19
2001-04-19,0.17,30.35,37.44,22.78,45.45,1.56,25.69
2001-04-20,2.54,31.45,38.2,25.98,47.53,2.2,22.58
2001-04-21,0.04,30.81,38.84,23.24,46.65,2.12,24.71
2001-04-22,0.0,30.67,39.04,22.01,43.82,1.72,25.95
2001-04-23,0.0,31.45,39.82,22.6,43.26,1.58,26.46
2001-04-24,0.0,31.32,40.41,21.71,41.55,1.25,26.09
