date,rainfall_mm,temp_c,solar_rad_kwh_m2
2001-01-01,0.0,17.59,16.31
2001-01-02,0.0,17.82,15.92
2001-01-03,0.0,18.9,15.68
2001-01-04,0.0,16.0,14.49
2001-01-05,0.0,15.14,14.69
2001-01-06,0.0,13.77,15.51
2001-01-07,0.0,14.15,16.08
2001-01-08,0.0,14.78,16.67
2001-01-09,0.0,15.63,13.62
2001-01-10,0.0,14.67,14.2
2001-01-11,0.0,13.49,15.84
2001-01-12,0.0,13.15,15.87
2001-01-13,0.0,14.1,16.28
2001-01-14,0.0,15.02,16.7
2001-01-15,0.0,15.46,17.55
2001-01-16,0.0,15.97,17.76
2001-01-17,0.0,16.93,18.14
2001-01-18,0.0,16.64,18.25
2001-01-19,0.0,16.92,18.47
2001-01-20,0.0,17.62,18.35
2001-01-21,0.0,17.58,18.22
2001-01-22,0.0,17.7,17.77
2001-01-23,0.0,17.53,13.55
2001-01-24,0.0,18.23,14.97
2001-01-25,0.0,15.09,16.8
2001-01-26,0.0,14.28,17.17
2001-01-27,0.0,14.29,16.44
2001-01-28,0.0,15.15,17.1
2001-01-29,0.0,16.09,17.31
2001-01-30,0.0,17.85,16.75
2001-01-31,0.0,18.28,15.86
2001-02-01,0.0,18.38,14.52
2001-02-02,0.0,20.39,16.18
2001-02-03,0.0,19.23,16.69
2001-02-04,0.0,18.65,19.12
2001-02-05,0.0,19.53,15.36
2001-02-06,0.0,20.92,14.93
2001-02-07,0.0,19.17,19.07
2001-02-08,0.0,18.73,19.12
2001-02-09,0.0,19.14,18.44
2001-02-10,0.0,18.57,17.77
2001-02-11,0.0,19.17,18.59
2001-02-12,0.0,18.97,19.62
2001-02-13,0.0,19.0,20.48
2001-02-14,0.0,19.91,20.36
2001-02-15,0.0,22.44,17.38
2001-02-16,0.0,22.75,20.58
2001-02-17,0.0,23.54,19.75
2001-02-18,0.0,24.28,19.59
2001-02-19,0.0,24.08,16.82
2001-02-20,0.0,23.64,19.56
2001-02-21,1.24,22.82,18.07
2001-02-22,2.16,22.98,16.12
2001-02-23,0.0,23.51,19.1
2001-02-24,0.44,22.8,17.28
2001-02-25,3.74,23.87,15.8
2001-02-26,28.98,23.72,12.23
2001-02-27,7.6,24.15,15.77
2001-02-28,0.0,24.64,17.42
2001-03-01,0.4,24.45,18.54
2001-03-02,0.0,25.37,20.21
2001-03-03,0.0,24.18,21.99
2001-03-04,0.0,23.7,23.6
2001-03-05,0.27,22.89,16.85
2001-03-06,0.0,23.08,22.61
2001-03-07,0.0,22.94,23.0
2001-03-08,0.0,23.2,21.14
2001-03-09,0.0,24.16,18.28
2001-03-10,0.0,24.34,22.1
2001-03-11,0.0,24.05,23.57
2001-03-12,0.0,24.05,23.09
2001-03-13,0.0,25.17,23.4
2001-03-14,0.0,25.64,22.32
2001-03-15,0.03,26.04,21.73
2001-03-16,0.0,27.19,21.14
2001-03-17,0.0,27.02,23.32
2001-03-18,1.32,27.3,21.97
2001-03-19,0.0,27.59,24.2
2001-03-20,0.0,27.96,23.9
2001-03-21,0.0,28.95,22.8
2001-03-22,0.09,29.08,21.93
2001-03-23,1.07,27.92,14.94
2001-03-24,0.83,29.36,19.86
2001-03-25,0.04,28.99,21.67
2001-03-26,0.08,28.77,19.91
2001-03-27,2.02,28.49,21.75
2001-03-28,4.65,28.47,18.98
2001-03-29,2.44,29.17,20.96
2001-03-30,1.4,28.68,17.08
2001-03-31,0.56,27.61,20.61
2001-04-01,6.3,27.98,22.96
2001-04-02,4.09,27.89,19.92
2001-04-03,0.29,29.63,23.88
2001-04-04,0.0,30.57,24.68
2001-04-05,0.24,30.18,23.86
2001-04-06,0.0,30.94,24.16
2001-04-07,0.0,31.68,24.61
2001-04-08,0.0,31.81,22.92
2001-04-09,0.0,29.89,16.52
2001-04-10,0.08,28.98,19.64
2001-04-11,0.12,30.01,20.93
2001-04-12,0.15,29.83,19.26
2001-04-13,5.15,29.04,12.18
2001-04-14,2.53,27.31,16.05
2001-04-15,0.74,27.59,19.73
2001-04-16,0.6,29.23,22.27
2001-04-17,7.35,29.68,23.22
2001-04-18,2.29,28.77,20.19
2001-04-19,0.09,30.51,25.69
2001-04-20,1.7,31.12,22.58
2001-04-21,0.3,30.65,24.71
2001-04-22,0.0,30.63,25.95
2001-04-23,0.0,31.24,26.46
2001-04-24,0.0,31.7,26.09
2001-04-25,0.0,31.61,26.05
2001-04-26,0.0,31.44,25.08
2001-04-27,0.47,30.78,22.95
2001-04-28,2.63,30.29,21.22
2001-04-29,13.37,29.51,16.4
2001-04-30,26.47,27.85,16.81
2001-05-01,5.27,29.4,25.56
2001-05-02,4.95,29.72,11.56
2001-05-03,44.27,27.83,6.3
2001-05-04,28.36,26.62,10.15
2001-05-05,20.55,26.6,11.66
2001-05-06,14.97,25.32,11.77
2001-05-07,42.66,26.73,8.88
2001-05-08,32.6,27.2,2.83
2001-05-09,19.99,27.69,10.46
2001-05-10,38.71,28.36,4.23
2001-05-11,37.31,28.02,13.99
2001-05-12,5.11,26.33,20.28
2001-05-13,0.02,27.04,27.35
2001-05-14,0.0,28.06,24.25
2001-05-15,0.07,29.02,23.42
2001-05-16,0.41,28.79,20.85
2001-05-17,1.69,28.12,22.77
2001-05-18,4.58,28.15,23.49
2001-05-19,4.99,28.24,16.8
2001-05-20,9.22,28.19,19.61
2001-05-21,6.52,27.33,22.34
2001-05-22,11.25,27.85,11.91
2001-05-23,13.33,28.66,15.98
2001-05-24,3.47,27.85,12.87
2001-05-25,0.75,28.0,21.9
2001-05-26,9.52,27.89,13.07
2001-05-27,0.15,28.19,23.08
2001-05-28,2.29,27.88,21.8
2001-05-29,9.34,27.52,13.74
2001-05-30,5.81,27.48,18.29
2001-05-31,7.43,27.98,14.85
2001-06-01,17.4,28.12,15.71
2001-06-02,12.76,28.14,18.69
2001-06-03,15.35,26.87,10.02
2001-06-04,40.02,26.49,8.95
2001-06-05,82.13,26.88,2.48
2001-06-06,49.3,27.27,3.32
2001-06-07,15.64,27.24,14.24
2001-06-08,18.15,27.08,9.82
2001-06-09,4.35,27.29,19.19
2001-06-10,9.03,27.33,21.9
2001-06-11,7.78,27.69,23.69
2001-06-12,0.75,27.74,25.59
2001-06-13,14.3,27.6,19.21
2001-06-14,36.95,26.72,3.88
2001-06-15,37.88,27.06,9.69
2001-06-16,46.89,26.25,14.86
2001-06-17,22.25,26.53,12.48
2001-06-18,20.15,26.98,12.26
2001-06-19,34.07,27.56,13.84
2001-06-20,47.16,27.82,13.61
2001-06-21,6.12,28.63,19.74
2001-06-22,0.61,28.44,22.93
2001-06-23,1.18,28.29,20.34
2001-06-24,0.79,27.72,20.84
2001-06-25,0.16,27.74,20.73
2001-06-26,2.14,27.35,20.54
2001-06-27,4.95,27.27,19.38
2001-06-28,1.06,27.68,20.3
2001-06-29,6.61,27.63,17.76
2001-06-30,14.29,27.41,11.15
2001-07-01,21.56,27.13,10.35
2001-07-02,2.19,27.04,18.2
2001-07-03,0.52,27.28,21.78
2001-07-04,0.73,28.05,22.4
2001-07-05,3.57,27.36,21.27
2001-07-06,2.33,27.89,22.48
2001-07-07,6.69,27.65,23.67
2001-07-08,3.41,28.27,24.2
2001-07-09,2.2,28.15,15.93
2001-07-10,12.35,27.21,17.3
2001-07-11,9.86,27.13,17.61
2001-07-12,12.53,27.52,15.63
2001-07-13,9.26,27.3,17.06
2001-07-14,9.94,27.49,15.87
2001-07-15,4.18,27.56,20.66
