date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,rh_pct,wind_speed_ms,solar_rad_mj_m2
2001-01-01,0.0,17.59,24.18,11.64,69.68,0.96,16.31
2001-01-02,0.0,17.82,24.5,12.6,74.74,1.15,15.92
2001-01-03,0.0,18.9,25.74,14.28,78.52,1.58,15.68
2001-01-04,0.0,16.0,23.42,10.3,70.83,1.56,14.49
2001-01-05,0.0,15.14,22.04,10.56,65.74,1.22,14.69
2001-01-06,0.0,13.77,21.65,7.6,70.69,1.5,15.51
2001-01-07,0.0,14.15,21.77,8.27,69.62,1.23,16.08
2001-01-08,0.0,14.78,22.66,8.48,67.89,1.3,16.67
2001-01-09,0.0,15.63,23.24,8.85,64.26,1.15,13.62
2001-01-10,0.0,14.67,22.8,9.56,65.4,1.37,14.2
2001-01-11,0.0,13.49,21.56,8.15,56.36,1.23,15.84
2001-01-12,0.0,13.15,21.94,6.74,62.87,1.53,15.87
2001-01-13,0.0,14.1,22.9,7.58,62.81,1.27,16.28
2001-01-14,0.0,15.02,23.88,9.4,61.4,1.4,16.7
2001-01-15,0.0,15.46,24.67,9.43,61.39,1.49,17.55
2001-01-16,0.0,15.97,24.5,9.93,61.76,1.2,17.76
2001-01-17,0.0,16.93,25.65,11.28,60.58,1.32,18.14
2001-01-18,0.0,16.64,25.31,10.31,62.0,1.34,18.25
2001-01-19,0.0,16.92,25.47,10.64,61.52,1.41,18.47
2001-01-20,0.0,17.62,26.03,12.0,58.72,1.12,18.35
2001-01-21,0.0,17.58,25.41,12.16,57.77,1.11,18.22
2001-01-22,0.0,17.7,24.92,10.49,49.13,1.01,17.77
2001-01-23,0.0,17.53,26.03,10.19,63.49,1.51,13.55
2001-01-24,0.0,18.23,25.84,12.49,62.13,1.19,14.97
2001-01-25,0.0,15.09,22.94,7.77,49.2,1.35,16.8
2001-01-26,0.0,14.28,22.43,8.07,47.92,1.33,17.17
2001-01-27,0.0,14.29,22.4,7.52,50.98,1.1,16.44
2001-01-28,0.0,15.15,23.92,8.11,55.25,1.24,17.1
2001-01-29,0.0,16.09,24.61,8.31,57.85,1.18,17.31
2001-01-30,0.0,17.85,24.52,10.88,53.59,0.8,16.75
2001-01-31,0.0,18.28,26.73,11.0,57.59,1.06,15.86
2001-02-01,0.0,18.38,27.14,10.89,67.25,1.43,14.52
2001-02-02,0.0,20.39,28.48,13.0,65.09,1.34,16.18
2001-02-03,0.0,19.23,27.19,13.27,53.84,1.24,16.69
2001-02-04,0.0,18.65,28.9,10.73,49.63,1.66,19.12
2001-02-05,0.0,19.53,28.64,11.34,43.11,1.33,15.36
2001-02-06,0.0,20.92,29.75,14.81,44.82,1.21,14.93
2001-02-07,0.0,19.17,27.73,13.53,47.84,1.53,19.07
2001-02-08,0.0,18.73,26.6,12.77,37.34,1.18,19.12
2001-02-09,0.0,19.14,26.79,12.06,34.26,0.97,18.44
2001-02-10,0.0,18.57,26.16,11.23,39.02,0.99,17.77
2001-02-11,0.0,19.17,27.38,9.82,44.11,1.06,18.59
