date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,rh_pct,wind_speed_ms,solar_rad_mj_m2
2001-01-01,0.0,17.12,23.28,11.12,74.94,1.25,16.31
2001-01-02,0.0,17.68,24.17,11.73,78.97,1.47,15.92
2001-01-03,0.0,18.75,24.83,14.84,82.79,2.12,15.68
2001-01-04,0.0,16.09,22.72,11.15,74.87,2.16,14.49
2001-01-05,0.0,14.56,21.38,9.9,72.93,1.7,14.69
2001-01-06,0.0,13.58,20.84,7.79,75.13,1.98,15.51
2001-01-07,0.0,13.88,20.96,7.51,75.22,1.6,16.08
2001-01-08,0.0,14.49,21.79,8.03,73.69,1.66,16.67
2001-01-09,0.0,15.36,22.36,9.01,69.03,1.39,13.62
2001-01-10,0.0,14.58,22.01,9.95,70.73,1.62,14.2
2001-01-11,0.0,13.3,20.72,7.62,62.6,1.57,15.84
2001-01-12,0.0,12.74,20.71,6.42,69.09,1.91,15.87
2001-01-13,0.0,13.7,21.81,7.06,69.51,1.67,16.28
2001-01-14,0.0,14.35,22.72,8.25,69.04,1.78,16.7
2001-01-15,0.0,14.62,23.27,8.3,69.1,1.86,17.55
2001-01-16,0.0,15.03,23.13,8.34,70.39,1.64,17.76
2001-01-17,0.0,15.74,24.01,9.57,70.5,1.64,18.14
2001-01-18,0.0,15.7,23.85,8.93,70.28,1.87,18.25
2001-01-19,0.0,15.81,23.92,9.09,71.21,1.81,18.47
2001-01-20,0.0,16.46,24.27,9.81,68.65,1.53,18.35
2001-01-21,0.0,16.66,23.85,10.82,66.84,1.49,18.22
2001-01-22,0.0,17.17,23.57,10.45,56.09,1.25,17.77
2001-01-23,0.0,17.85,25.19,11.44,70.03,1.28,13.55
2001-01-24,0.0,18.89,24.71,13.25,66.57,1.02,14.97
2001-01-25,0.0,14.97,21.89,7.61,55.56,1.5,16.8
2001-01-26,0.0,13.76,21.3,7.48,55.77,1.63,17.17
2001-01-27,0.0,13.98,21.26,7.6,56.68,1.31,16.44
2001-01-28,0.0,14.59,22.48,8.28,60.96,1.42,17.1
2001-01-29,0.0,15.59,22.91,8.13,64.53,1.27,17.31
2001-01-30,0.0,17.53,23.39,10.61,60.4,0.89,16.75
2001-01-31,0.0,18.23,25.48,11.17,65.29,0.96,15.86
2001-02-01,0.0,18.66,26.08,11.95,78.38,1.26,14.52
2001-02-02,0.0,20.87,27.12,14.21,69.46,1.02,16.18
2001-02-03,0.0,19.54,25.94,14.55,65.34,1.29,16.69
2001-02-04,0.0,18.0,26.98,11.29,57.93,2.1,19.12
2001-02-05,0.0,18.73,26.95,10.48,52.79,1.54,15.36
2001-02-06,0.0,20.54,28.32,14.66,51.12,1.15,14.93
2001-02-07,0.0,18.58,26.4,12.93,56.65,1.7,19.07
2001-02-08,0.0,17.82,25.43,10.75,45.93,1.49,19.12
2001-02-09,0.0,18.79,25.52,11.69,39.3,0.99,18.44
2001-02-10,0.0,18.59,24.95,11.69,42.4,0.96,17.77
2001-02-11,0.0,19.11,26.28,10.63,54.89,0.93,18.59
2001-02-12,0.0,18.92,27.04,11.66,54.94,1.26,19.62
2001-02-13,0.0,18.32,27.67,10.96,57.83,1.95,20.48
2001-02-14,0.0,18.98,28.28,11.6,55.48,1.74,20.36
2001-02-15,0.0,21.49,30.34,13.89,49.44,1.44,17.38
2001-02-16,0.0,22.54,30.49,14.5,55.48,0.98,20.58
2001-02-17,0.0,23.08,30.85,16.37,46.23,1.09,19.75
2001-02-18,0.0,23.27,31.28,15.91,50.2,1.11,19.59
2001-02-19,0.0,23.58,30.93,17.78,67.91,1.26,16.82
2001-02-20,0.0,23.68,30.89,16.25,55.71,1.15,19.56
2001-02-21,1.29,22.82,30.21,15.96,61.12,1.34,18.07
2001-02-22,5.31,23.05,28.27,18.61,78.85,1.09,16.12
2001-02-23,0.0,23.75,29.76,17.66,58.46,0.94,19.1
2001-02-24,0.18,23.28,29.98,17.08,62.46,1.64,17.28
2001-02-25,0.97,23.89,29.63,18.95,81.1,2.96,15.8
2001-02-26,11.29,24.11,28.91,21.32,81.83,3.33,12.23
2001-02-27,11.78,23.89,28.47,20.67,84.76,1.81,15.77
2001-02-28,0.0,24.78,31.23,19.57,69.94,1.12,17.42
2001-03-01,0.49,24.27,31.82,17.99,62.68,1.41,18.54
2001-03-02,0.0,24.7,31.21,18.17,60.09,1.87,20.21
2001-03-03,0.0,23.56,32.16,17.26,49.9,2.3,21.99
2001-03-04,0.0,22.95,32.08,14.57,39.41,1.89,23.6
2001-03-05,0.16,22.75,30.78,16.39,44.29,2.28,16.85
2001-03-06,0.0,22.94,31.0,15.38,56.9,1.85,22.61
2001-03-07,0.0,22.91,31.42,15.89,49.81,2.02,23.0
2001-03-08,0.0,22.73,31.85,14.91,46.15,1.95,21.14
2001-03-09,0.0,23.46,32.72,16.38,43.11,1.77,18.28
2001-03-10,0.0,23.8,32.98,16.48,40.06,1.66,22.1
2001-03-11,0.0,23.54,33.38,15.68,35.33,1.83,23.57
2001-03-12,0.0,23.6,33.41,14.99,35.54,1.97,23.09
2001-03-13,0.0,24.19,33.54,16.0,34.21,1.88,23.4
2001-03-14,0.0,25.43,34.22,17.36,36.93,0.92,22.32
2001-03-15,0.01,25.95,34.04,19.33,62.35,1.35,21.73
2001-03-16,0.0,27.33,34.89,20.1,53.9,1.36,21.14
2001-03-17,0.0,27.17,35.02,19.03,48.75,1.25,23.32
2001-03-18,0.95,27.9,35.42,21.17,56.39,1.24,21.97
2001-03-19,0.0,27.87,35.8,22.13,52.83,1.49,24.2
2001-03-20,0.0,27.62,37.01,17.33,32.93,1.26,23.9
2001-03-21,0.0,28.29,37.22,20.22,55.7,1.32,22.8
2001-03-22,0.18,28.82,37.61,21.55,62.93,1.67,21.93
2001-03-23,1.24,26.93,33.14,23.44,63.97,1.18,14.94
2001-03-24,0.21,28.97,35.66,23.17,58.72,2.23,19.86
2001-03-25,0.14,29.04,35.99,22.98,59.6,2.08,21.67
2001-03-26,0.12,29.18,36.98,21.97,60.98,2.44,19.91
2001-03-27,0.35,29.02,36.03,22.4,58.94,2.81,21.75
2001-03-28,2.95,28.71,35.34,23.01,62.83,2.11,18.98
2001-03-29,2.46,29.17,35.68,23.63,64.14,1.9,20.96
2001-03-30,0.55,28.7,34.82,23.11,69.48,2.05,17.08
2001-03-31,0.59,28.32,34.07,23.64,66.05,1.05,20.61
2001-04-01,3.01,28.66,33.74,24.11,65.24,1.23,22.96
2001-04-02,5.6,28.39,33.48,23.86,65.66,1.24,19.92
2001-04-03,0.49,29.44,36.29,23.04,56.85,1.25,23.88
2001-04-04,0.0,30.38,37.19,23.08,47.98,1.17,24.68
2001-04-05,0.12,30.44,38.07,22.22,48.14,1.33,23.86
2001-04-06,0.0,31.22,39.6,22.27,49.36,1.1,24.16
2001-04-07,0.0,31.51,40.09,24.4,50.54,1.74,24.61
2001-04-08,0.0,31.08,37.8,25.2,58.53,2.85,22.92
2001-04-09,0.0,29.04,34.31,25.33,72.95,3.16,16.52
2001-04-10,0.01,28.34,32.42,25.2,74.1,2.54,19.64
2001-04-11,0.02,29.14,36.29,23.6,69.58,2.78,20.93
2001-04-12,0.04,29.08,34.42,24.41,68.25,2.79,19.26
2001-04-13,5.11,29.18,35.28,25.89,63.97,2.66,12.18
2001-04-14,6.63,27.46,31.0,24.79,61.58,1.05,16.05
2001-04-15,0.44,26.59,30.42,24.43,68.52,0.85,19.73
2001-04-16,0.52,28.9,34.84,23.29,62.97,1.44,22.27
2001-04-17,3.76,29.65,35.98,24.1,67.03,1.78,23.22
