date,rainfall_mm,temp_c,solar_rad_kwh_m2
2001-01-01,0.0,17.12,17.19
2001-01-02,0.0,17.68,16.63
2001-01-03,0.0,18.75,16.63
2001-01-04,0.0,16.09,15.73
2001-01-05,0.0,14.56,16.93
2001-01-06,0.0,13.58,16.48
2001-01-07,0.0,13.88,17.09
2001-01-08,0.0,14.49,17.26
2001-01-09,0.0,15.36,15.47
2001-01-10,0.0,14.58,13.03
2001-01-11,0.0,13.3,15.89
2001-01-12,0.0,12.74,17.18
2001-01-13,0.0,13.7,16.89
2001-01-14,0.0,14.35,17.3
2001-01-15,0.0,14.62,17.61
2001-01-16,0.0,15.03,18.02
2001-01-17,0.0,15.74,18.39
2001-01-18,0.0,15.7,18.66
2001-01-19,0.0,15.81,18.92
2001-01-20,0.0,16.46,18.95
2001-01-21,0.0,16.66,19.05
2001-01-22,0.0,17.17,18.48
2001-01-23,0.0,17.85,16.79
2001-01-24,0.0,18.89,16.86
2001-01-25,0.0,14.97,18.37
2001-01-26,0.0,13.76,18.43
2001-01-27,0.0,13.98,17.4
2001-01-28,0.0,14.59,17.31
2001-01-29,0.0,15.59,17.08
2001-01-30,0.0,17.53,16.96
2001-01-31,0.0,18.23,17.13
2001-02-01,0.0,18.66,16.29
2001-02-02,0.0,20.87,17.5
2001-02-03,0.0,19.54,17.2
2001-02-04,0.0,18.0,19.7
2001-02-05,0.0,18.73,17.43
2001-02-06,0.0,20.54,18.24
2001-02-07,0.0,18.58,19.49
2001-02-08,0.0,17.82,19.62
2001-02-09,0.0,18.79,20.0
2001-02-10,0.0,18.59,19.22
2001-02-11,0.0,19.11,19.52
2001-02-12,0.0,18.92,19.48
2001-02-13,0.0,18.32,21.22
2001-02-14,0.0,18.98,21.14
2001-02-15,0.0,21.49,18.3
2001-02-16,0.0,22.54,21.33
2001-02-17,0.0,23.08,19.81
2001-02-18,0.0,23.27,20.59
2001-02-19,0.0,23.58,19.31
2001-02-20,0.0,23.68,20.12
2001-02-21,1.29,22.82,19.86
2001-02-22,5.31,23.05,17.72
2001-02-23,0.0,23.75,21.06
2001-02-24,0.18,23.28,19.77
2001-02-25,0.97,23.89,18.24
2001-02-26,11.29,24.11,15.7
2001-02-27,11.78,23.89,13.0
2001-02-28,0.0,24.78,19.27
2001-03-01,0.49,24.27,20.72
2001-03-02,0.0,24.7,20.95
2001-03-03,0.0,23.56,22.58
2001-03-04,0.0,22.95,23.47
2001-03-05,0.16,22.75,20.72
2001-03-06,0.0,22.94,23.16
