date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,rh_pct,wind_speed_ms,solar_rad_mj_m2
1981-01-01,0.0,17.46,24.03,10.99,66.54,1.49,
1981-01-02,0.0,18.05,23.53,12.9,57.97,1.06,
1981-01-03,0.0,17.87,23.39,11.51,61.41,0.92,
1981-01-04,0.0,17.96,23.93,13.08,63.71,0.94,
1981-01-05,0.0,18.84,24.75,13.8,80.79,1.18,
1981-01-06,1.38,19.82,24.87,15.6,89.27,1.91,
1981-01-07,3.92,19.98,24.59,16.22,89.41,2.42,
1981-01-08,4.68,17.69,22.81,13.33,81.63,1.73,
1981-01-09,0.0,15.33,21.68,10.0,72.92,1.76,
1981-01-10,0.0,15.42,22.91,9.07,72.43,1.61,
1981-01-11,0.0,16.88,23.86,9.7,73.87,1.25,
1981-01-12,0.13,17.66,22.55,14.0,76.21,1.79,
1981-01-13,3.3,18.54,24.62,13.84,80.17,2.2,
1981-01-14,2.17,18.21,24.49,14.29,79.51,2.24,
1981-01-15,0.0,17.64,24.69,11.4,76.74,1.59,
1981-01-16,0.0,18.31,25.95,11.69,72.3,1.47,
1981-01-17,0.0,18.62,26.16,11.4,65.85,1.28,
1981-01-18,0.0,19.15,25.78,12.92,61.42,1.01,
1981-01-19,0.0,19.57,24.94,12.99,58.05,0.67,
1981-01-20,0.0,19.39,24.85,14.94,58.93,0.89,
1981-01-21,0.0,18.32,24.54,12.1,62.2,1.15,
1981-01-22,0.0,18.77,24.24,12.56,57.24,0.84,
1981-01-23,0.0,18.53,25.15,12.58,66.18,1.0,
1981-01-24,0.0,18.7,25.83,11.85,67.9,1.27,
1981-01-25,0.0,18.63,26.21,11.71,67.97,1.49,
1981-01-26,14.88,19.13,25.7,12.9,74.58,1.64,
1981-01-27,0.0,18.75,26.0,13.14,73.94,1.87,
1981-01-28,0.0,18.26,25.3,12.11,66.12,1.58,
1981-01-29,0.0,18.29,24.11,11.26,59.15,1.05,
1981-01-30,0.0,18.73,25.57,11.77,64.75,1.08,
1981-01-31,0.46,20.8,27.67,15.02,70.43,0.98,
1981-02-01,9.74,21.4,27.39,15.15,71.95,0.98,
1981-02-02,0.06,20.72,26.28,16.45,78.24,1.43,
1981-02-03,0.0,18.39,25.25,13.47,69.0,2.27,
1981-02-04,0.0,17.39,24.28,10.69,63.38,1.71,
1981-02-05,0.0,18.11,25.43,11.32,66.06,1.72,
1981-02-06,0.0,19.33,27.06,12.04,62.49,1.8,
1981-02-07,0.0,22.28,29.41,13.88,51.46,1.3,
1981-02-08,0.0,23.47,29.48,16.45,49.52,0.83,
1981-02-09,0.79,21.75,29.66,15.26,63.34,1.41,
1981-02-10,7.46,18.15,24.7,14.1,81.39,2.53,
1981-02-11,2.18,18.06,22.8,13.21,74.76,1.63,
1981-02-12,0.03,18.19,24.04,12.08,62.08,1.12,
1981-02-13,0.0,18.18,25.0,10.84,59.32,1.36,
1981-02-14,0.0,19.31,26.48,11.89,58.37,1.12,
1981-02-15,0.0,19.66,27.97,12.47,64.55,1.48,
1981-02-16,0.0,21.15,29.16,14.36,73.82,1.6,
1981-02-17,0.0,22.97,30.31,16.22,64.73,1.22,
1981-02-18,0.0,23.15,29.85,16.61,56.85,1.13,
1981-02-19,0.0,21.6,29.26,13.7,41.2,1.33,
