date,rainfall_mm,temp_c,solar_rad_kwh_m2
2001-01-01,0.0,17.57,13.8
2001-01-02,0.02,17.99,15.06
2001-01-03,0.0,17.81,15.04
2001-01-04,0.01,16.84,13.35
2001-01-05,0.03,15.17,13.19
2001-01-06,0.0,14.39,14.81
2001-01-07,0.0,14.21,14.33
2001-01-08,0.0,14.89,15.96
2001-01-09,0.0,15.24,14.49
2001-01-10,0.0,14.81,13.95
2001-01-11,0.0,13.98,15.08
2001-01-12,0.0,13.93,15.3
2001-01-13,0.0,14.56,15.52
2001-01-14,0.0,14.79,15.93
2001-01-15,0.0,16.22,16.59
2001-01-16,0.0,15.89,16.73
2001-01-17,0.0,16.97,17.43
2001-01-18,0.0,16.3,17.61
2001-01-19,0.0,17.05,17.6
2001-01-20,0.0,17.14,17.64
2001-01-21,0.0,16.92,17.68
2001-01-22,0.0,16.29,17.14
2001-01-23,0.54,17.2,8.16
2001-01-24,0.0,15.78,13.87
2001-01-25,0.0,15.55,16.03
2001-01-26,0.0,13.34,16.38
2001-01-27,0.0,13.48,16.12
2001-01-28,0.0,14.93,16.42
2001-01-29,0.0,15.99,16.95
2001-01-30,0.0,16.93,16.46
2001-01-31,0.0,16.41,15.27
2001-02-01,0.0,17.22,14.13
2001-02-02,0.0,17.56,13.89
2001-02-03,0.0,17.12,15.21
2001-02-04,0.0,17.53,17.61
2001-02-05,0.0,18.37,14.05
2001-02-06,0.0,18.99,13.87
2001-02-07,0.0,17.88,18.17
2001-02-08,0.0,16.96,18.06
2001-02-09,0.0,17.66,17.3
2001-02-10,0.0,17.13,16.73
2001-02-11,0.0,16.95,18.31
2001-02-12,0.0,17.85,18.83
2001-02-13,0.0,18.64,19.3
2001-02-14,0.0,19.52,19.1
2001-02-15,0.0,20.56,17.43
2001-02-16,0.0,21.11,18.48
2001-02-17,0.0,22.12,18.39
2001-02-18,0.0,21.76,18.71
2001-02-19,0.69,21.78,15.8
2001-02-20,0.0,20.8,18.88
2001-02-21,0.08,20.12,15.58
2001-02-22,0.37,19.95,16.61
2001-02-23,0.0,20.06,17.82
2001-02-24,3.72,20.09,15.46
2001-02-25,15.01,21.36,14.4
2001-02-26,71.49,21.96,9.34
2001-02-27,2.0,22.55,14.61
2001-02-28,0.0,21.91,18.45
2001-03-01,0.02,22.46,15.11
2001-03-02,0.0,22.58,19.52
2001-03-03,0.0,22.0,20.89
2001-03-04,0.0,21.79,22.17
2001-03-05,0.08,19.97,14.73
2001-03-06,0.0,20.13,21.72
2001-03-07,0.0,20.77,21.75
2001-03-08,0.0,21.24,20.43
2001-03-09,0.0,22.29,19.46
2001-03-10,0.0,22.27,21.68
2001-03-11,0.0,21.62,21.96
2001-03-12,0.0,22.67,22.79
2001-03-13,0.0,22.75,22.92
2001-03-14,0.0,22.96,21.53
2001-03-15,0.05,24.54,21.08
2001-03-16,0.0,23.28,20.77
2001-03-17,0.0,24.25,22.64
2001-03-18,0.58,23.65,22.04
2001-03-19,0.04,24.05,23.3
2001-03-20,0.0,25.33,22.75
2001-03-21,0.0,25.68,22.56
2001-03-22,0.0,25.87,21.47
2001-03-23,1.18,24.13,17.22
2001-03-24,11.02,25.55,19.2
2001-03-25,0.13,24.61,21.47
2001-03-26,0.08,24.43,20.41
2001-03-27,0.18,25.86,20.85
2001-03-28,4.22,25.41,18.18
2001-03-29,5.14,26.49,19.67
2001-03-30,8.29,25.41,15.05
2001-03-31,2.17,23.99,19.75
2001-04-01,11.12,25.04,21.5
2001-04-02,1.26,25.14,22.68
2001-04-03,0.01,26.56,23.23
2001-04-04,0.0,28.16,23.0
2001-04-05,0.1,27.65,23.71
2001-04-06,0.0,28.47,23.91
2001-04-07,0.0,30.06,24.33
2001-04-08,1.33,29.99,21.15
2001-04-09,0.32,28.08,15.21
2001-04-10,3.4,28.71,20.38
2001-04-11,4.53,28.53,20.78
2001-04-12,5.92,28.94,20.34
2001-04-13,15.52,26.47,14.04
2001-04-14,0.94,26.21,12.82
2001-04-15,5.41,27.23,23.43
2001-04-16,2.7,27.0,23.32
2001-04-17,3.76,27.84,20.84
2001-04-18,1.19,27.84,19.64
2001-04-19,4.53,27.96,22.96
2001-04-20,2.49,28.65,21.89
2001-04-21,0.0,27.94,24.84
2001-04-22,0.18,29.13,25.83
2001-04-23,0.0,28.99,26.59
2001-04-24,0.0,30.0,25.76
2001-04-25,0.01,30.44,25.2
2001-04-26,2.33,30.49,23.21
2001-04-27,15.83,29.21,17.99
2001-04-28,47.26,27.69,18.16
2001-04-29,43.42,27.47,13.4
2001-04-30,23.47,27.14,15.91
2001-05-01,0.01,27.7,23.9
2001-05-02,2.05,27.94,13.24
2001-05-03,10.31,27.98,17.99
2001-05-04,20.75,26.67,13.11
2001-05-05,18.02,25.65,9.29
2001-05-06,3.47,25.09,9.47
2001-05-07,38.0,26.27,11.98
2001-05-08,44.18,26.79,8.75
2001-05-09,47.89,26.42,9.4
2001-05-10,29.12,27.19,2.62
2001-05-11,3.36,26.24,13.78
2001-05-12,0.69,26.43,24.52
2001-05-13,0.01,27.97,27.55
2001-05-14,0.99,28.95,25.12
2001-05-15,0.1,29.38,26.01
2001-05-16,3.81,29.7,19.66
2001-05-17,7.71,28.66,22.72
2001-05-18,54.85,27.87,25.02
2001-05-19,15.77,28.03,20.23
2001-05-20,35.92,28.22,21.17
2001-05-21,18.84,28.12,19.67
2001-05-22,17.28,27.49,12.9
2001-05-23,14.24,28.19,9.74
2001-05-24,5.11,27.94,14.39
2001-05-25,2.68,28.67,21.51
2001-05-26,2.97,28.45,17.8
2001-05-27,0.0,29.02,24.59
2001-05-28,6.74,28.1,24.06
2001-05-29,5.97,28.12,10.41
2001-05-30,13.73,27.7,17.69
2001-05-31,68.54,27.67,14.4
2001-06-01,13.68,27.95,12.25
2001-06-02,9.44,27.85,17.18
2001-06-03,34.02,27.36,13.91
2001-06-04,64.29,25.97,6.06
2001-06-05,116.12,26.01,2.11
2001-06-06,51.17,26.68,3.11
2001-06-07,7.47,26.74,14.99
2001-06-08,6.87,26.91,20.23
2001-06-09,19.81,26.97,20.56
2001-06-10,4.93,27.86,24.02
2001-06-11,5.02,28.13,13.77
2001-06-12,0.37,28.17,26.76
2001-06-13,9.73,27.68,22.27
2001-06-14,9.03,26.6,8.15
2001-06-15,22.97,26.15,12.93
2001-06-16,8.89,27.99,18.3
2001-06-17,26.96,27.19,16.44
2001-06-18,28.49,26.8,13.53
2001-06-19,19.18,27.3,13.72
2001-06-20,27.88,27.78,17.26
2001-06-21,10.84,27.39,22.14
2001-06-22,11.77,28.75,24.35
2001-06-23,22.31,28.67,20.78
2001-06-24,26.95,28.74,20.02
2001-06-25,2.94,27.82,17.05
2001-06-26,2.99,27.49,18.46
2001-06-27,3.35,27.4,16.85
2001-06-28,1.08,28.64,23.93
2001-06-29,8.84,27.56,21.51
2001-06-30,49.56,27.12,14.33
2001-07-01,45.83,27.14,9.38
2001-07-02,2.77,27.27,17.72
2001-07-03,3.33,28.38,25.61
2001-07-04,0.81,29.56,24.48
2001-07-05,4.22,29.65,22.33
2001-07-06,7.99,28.59,19.36
2001-07-07,10.1,29.61,24.81
2001-07-08,2.71,29.87,26.07
2001-07-09,5.54,29.6,18.58
2001-07-10,10.57,28.21,17.29
2001-07-11,13.48,27.7,18.4
2001-07-12,15.4,28.25,16.63
2001-07-13,20.54,27.39,17.48
2001-07-14,5.2,27.51,15.99
2001-07-15,8.91,27.95,19.49
2001-07-16,21.43,27.5,21.73
