date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,rh_pct,wind_speed_ms,solar_rad_mj_m2
2001-01-01,0.0,17.57,23.54,11.22,71.86,1.13,13.8
2001-01-02,0.02,17.99,23.8,14.02,77.26,1.28,15.06
2001-01-03,0.0,17.81,23.49,13.89,79.55,1.32,15.04
2001-01-04,0.01,16.84,22.05,12.97,69.03,1.26,13.35
2001-01-05,0.03,15.17,20.59,10.64,66.43,1.19,13.19
2001-01-06,0.0,14.39,21.05,9.58,70.82,1.38,14.81
2001-01-07,0.0,14.21,20.06,8.61,70.39,1.22,14.33
2001-01-08,0.0,14.89,20.75,9.26,65.71,1.34,15.96
2001-01-09,0.0,15.24,20.91,10.31,62.86,1.25,14.49
2001-01-10,0.0,14.81,20.93,10.62,63.75,1.35,13.95
2001-01-11,0.0,13.98,19.19,8.75,59.52,1.16,15.08
2001-01-12,0.0,13.93,20.65,7.61,65.02,1.29,15.3
2001-01-13,0.0,14.56,21.09,8.99,67.61,1.38,15.52
2001-01-14,0.0,14.79,21.69,9.58,67.05,1.29,15.93
2001-01-15,0.0,16.22,23.76,10.44,66.18,1.29,16.59
2001-01-16,0.0,15.89,23.02,10.59,69.06,1.3,16.73
2001-01-17,0.0,16.97,24.2,10.83,66.47,1.36,17.43
2001-01-18,0.0,16.3,22.98,11.04,69.01,1.42,17.61
2001-01-19,0.0,17.05,24.29,11.03,66.4,1.3,17.6
2001-01-20,0.0,17.14,24.19,11.75,68.59,1.34,17.64
2001-01-21,0.0,16.92,23.58,10.95,64.54,1.4,17.68
2001-01-22,0.0,16.29,22.15,10.25,61.18,1.22,17.14
2001-01-23,0.54,17.2,23.13,10.49,60.32,1.1,8.16
2001-01-24,0.0,15.78,22.11,10.22,63.94,1.54,13.87
2001-01-25,0.0,15.55,20.4,11.98,45.45,1.22,16.03
2001-01-26,0.0,13.34,19.86,7.52,58.32,1.35,16.38
2001-01-27,0.0,13.48,19.41,8.19,63.28,1.32,16.12
2001-01-28,0.0,14.93,21.83,9.37,63.5,1.32,16.42
2001-01-29,0.0,15.99,22.93,10.94,67.58,1.35,16.95
2001-01-30,0.0,16.93,23.09,11.81,65.23,1.27,16.46
2001-01-31,0.0,16.41,22.46,12.27,67.67,1.09,15.27
2001-02-01,0.0,17.22,23.34,11.73,65.32,1.25,14.13
2001-02-02,0.0,17.56,24.2,12.04,67.78,1.26,13.89
2001-02-03,0.0,17.12,24.08,10.95,59.47,1.34,15.21
2001-02-04,0.0,17.53,25.29,9.9,47.12,1.52,17.61
2001-02-05,0.0,18.37,25.1,10.39,42.21,1.3,14.05
2001-02-06,0.0,18.99,26.37,11.93,50.74,1.38,13.87
2001-02-07,0.0,17.88,24.54,11.9,56.0,1.4,18.17
2001-02-08,0.0,16.96,22.99,11.46,54.47,1.34,18.06
2001-02-09,0.0,17.66,24.54,13.24,52.36,1.26,17.3
2001-02-10,0.0,17.13,23.51,11.53,59.49,1.27,16.73
2001-02-11,0.0,16.95,23.53,10.45,61.86,1.3,18.31
2001-02-12,0.0,17.85,24.31,12.22,63.21,1.4,18.83
2001-02-13,0.0,18.64,25.99,12.15,61.14,1.42,19.3
2001-02-14,0.0,19.52,27.97,12.79,59.36,1.36,19.1
2001-02-15,0.0,20.56,28.67,13.65,56.53,1.41,17.43
2001-02-16,0.0,21.11,28.36,14.18,55.22,1.33,18.48
2001-02-17,0.0,22.12,29.3,15.74,54.32,1.38,18.39
2001-02-18,0.0,21.76,28.89,14.96,56.14,1.54,18.71
2001-02-19,0.69,21.78,28.35,16.36,62.44,1.38,15.8
2001-02-20,0.0,20.8,27.36,14.72,58.56,1.41,18.88
2001-02-21,0.08,20.12,27.36,14.11,58.52,1.42,15.58
2001-02-22,0.37,19.95,27.06,13.26,53.04,1.27,16.61
2001-02-23,0.0,20.06,27.04,13.93,55.39,1.51,17.82
2001-02-24,3.72,20.09,26.93,14.5,61.11,1.6,15.46
2001-02-25,15.01,21.36,26.58,14.77,68.09,1.27,14.4
2001-02-26,71.49,21.96,25.77,19.02,88.92,1.77,9.34
2001-02-27,2.0,22.55,27.25,18.41,80.64,1.11,14.61
2001-02-28,0.0,21.91,28.34,15.97,67.46,1.29,18.45
2001-03-01,0.02,22.46,28.94,15.91,62.27,1.53,15.11
2001-03-02,0.0,22.58,28.4,16.8,62.74,1.49,19.52
2001-03-03,0.0,22.0,29.3,14.97,48.48,1.36,20.89
2001-03-04,0.0,21.79,28.49,13.37,40.94,1.44,22.17
2001-03-05,0.08,19.97,26.82,12.87,55.41,1.66,14.73
2001-03-06,0.0,20.13,25.84,14.42,61.13,1.38,21.72
2001-03-07,0.0,20.77,27.75,14.62,59.58,1.76,21.75
2001-03-08,0.0,21.24,28.27,15.03,58.65,1.56,20.43
2001-03-09,0.0,22.29,29.98,14.91,50.77,1.56,19.46
2001-03-10,0.0,22.27,29.48,15.05,45.71,1.48,21.68
2001-03-11,0.0,21.62,30.68,13.92,48.73,1.53,21.96
2001-03-12,0.0,22.67,30.73,15.21,48.01,1.31,22.79
2001-03-13,0.0,22.75,30.17,15.33,47.94,1.25,22.92
2001-03-14,0.0,22.96,30.69,15.76,50.81,1.61,21.53
2001-03-15,0.05,24.54,31.06,16.94,48.16,1.43,21.08
2001-03-16,0.0,23.28,30.93,16.82,54.25,1.73,20.77
2001-03-17,0.0,24.25,31.7,16.43,43.49,1.52,22.64
2001-03-18,0.58,23.65,31.49,16.79,50.37,1.53,22.04
2001-03-19,0.04,24.05,31.88,15.52,39.17,1.37,23.3
2001-03-20,0.0,25.33,32.95,17.03,40.91,1.44,22.75
2001-03-21,0.0,25.68,33.02,17.9,43.09,1.54,22.56
2001-03-22,0.0,25.87,33.26,18.48,48.8,1.45,21.47
2001-03-23,1.18,24.13,29.71,20.11,65.87,1.61,17.22
2001-03-24,11.02,25.55,31.25,19.86,60.67,1.86,19.2
2001-03-25,0.13,24.61,32.16,17.67,39.65,1.32,21.47
2001-03-26,0.08,24.43,32.25,16.8,46.74,1.46,20.41
2001-03-27,0.18,25.86,32.52,17.24,43.21,1.3,20.85
2001-03-28,4.22,25.41,31.47,18.51,57.8,1.33,18.18
2001-03-29,5.14,26.49,31.58,20.76,64.42,1.51,19.67
2001-03-30,8.29,25.41,28.16,21.73,75.09,1.19,15.05
2001-03-31,2.17,23.99,28.25,21.69,82.84,1.07,19.75
2001-04-01,11.12,25.04,29.24,21.53,74.62,1.07,21.5
2001-04-02,1.26,25.14,31.05,19.67,72.39,1.6,22.68
2001-04-03,0.01,26.56,32.64,19.31,61.47,1.36,23.23
2001-04-04,0.0,28.16,33.81,19.89,43.48,1.28,23.0
2001-04-05,0.1,27.65,34.06,21.08,43.5,1.31,23.71
2001-04-06,0.0,28.47,36.16,20.05,38.93,1.48,23.91
2001-04-07,0.0,30.06,37.2,21.88,34.69,1.74,24.33
2001-04-08,1.33,29.99,35.84,25.3,48.27,1.51,21.15
2001-04-09,0.32,28.08,33.21,24.54,65.92,1.31,15.21
2001-04-10,3.4,28.71,35.33,22.59,63.69,1.48,20.38
2001-04-11,4.53,28.53,33.98,22.88,63.21,1.16,20.78
2001-04-12,5.92,28.94,33.61,24.05,60.17,0.8,20.34
2001-04-13,15.52,26.47,30.12,23.05,74.33,1.05,14.04
2001-04-14,0.94,26.21,31.3,21.84,70.61,1.23,12.82
2001-04-15,5.41,27.23,32.47,22.05,64.0,1.43,23.43
2001-04-16,2.7,27.0,31.88,21.86,66.78,1.42,23.32
2001-04-17,3.76,27.84,33.03,21.6,62.98,1.2,20.84
2001-04-18,1.19,27.84,33.42,22.99,58.4,1.31,19.64
2001-04-19,4.53,27.96,33.22,21.71,53.61,1.74,22.96
2001-04-20,2.49,28.65,33.94,24.01,54.79,1.34,21.89
2001-04-21,0.0,27.94,34.89,20.89,47.91,1.64,24.84
2001-04-22,0.18,29.13,35.41,23.02,36.88,1.53,25.83
2001-04-23,0.0,28.99,36.3,20.85,38.59,1.37,26.59
2001-04-24,0.0,30.0,37.59,21.79,37.62,1.44,25.76
