item,value,unit,source_title,source_url,page,year,notes
comilla.normal_rain_jan,7.5,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_feb,28.8,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_mar,66.2,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_apr,153.9,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_may,329.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_jun,329.8,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_jul,415.5,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_aug,316.0,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_sep,226.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_oct,141.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_nov,41.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
comilla.normal_rain_dec,8.6,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_jan,12.1,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_feb,30.0,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_mar,81.2,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_apr,135.1,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_may,340.5,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_jun,532.7,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
maijdi_court.normal_rain_jul,790.2,mm,"Bangladesh Meteorological Department, Average Normal Rainfall in mm (station monthly normals)",https://server8.bmd.gov.bd/file/2016/08/17/pdf/53.pdf,1,2016,"Station normal; the table does not state its averaging period. Linked from https://server8.bmd.gov.bd/p/Normal-Monthly-Rainfall"
